split_type,seed,sim_bin,n,auroc,auprc,f1,balanced_acc,brier
random,11,0.3-0.5,17,0.7916666666666667,0.7933112638994991,0.625,0.6527777777777778,0.19600861634867206
random,11,0.5-0.7,4,,,,,0.24222221777777778
random,11,<0.3,13,0.8571428571428572,0.7940476190476191,0.9230769230769231,0.9285714285714286,0.16593657323380412
random,11,>0.7,30,0.776,0.919239430795495,0.8695652173913043,0.8,0.1334115312521793
scaffold,11,0.3-0.5,15,0.8333333333333334,0.9416666666666667,0.5882352941176471,0.7083333333333334,0.1827232762345916
scaffold,11,0.5-0.7,11,0.6944444444444444,0.9222222222222223,0.5714285714285714,0.4722222222222222,0.18370245992578854
scaffold,11,<0.3,24,0.6814814814814815,0.5253854332801701,0.4,0.5666666666666667,0.2592416857199847
scaffold,11,>0.7,13,1.0,1.0,1.0,1.0,0.010431126771669932
cluster,11,0.3-0.5,23,0.6384615384615384,0.7142305962144018,0.6428571428571429,0.5461538461538462,0.23720312805208654
cluster,11,0.5-0.7,10,0.9523809523809524,0.982142857142857,0.9230769230769231,0.9285714285714286,0.16070747153934312
cluster,11,<0.3,26,0.8343195266272189,0.8766178266178266,0.7058823529411765,0.6153846153846154,0.21919459713839104
cluster,11,>0.7,4,0.3333333333333333,0.8055555555555556,0.8571428571428571,0.5,0.1982128710277152
