assay_chembl_id,canonical_smiles,data_validity_comment,molecule_chembl_id,pchembl_value,relation,src_id,standard_relation,standard_type,standard_units,standard_value,type,units,value
CHEMBL824627,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCN(C(C)C)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL296979,5.92,=,1,=,Ki,nM,1200.0,Ki,nM,1200.0
CHEMBL824627,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CCCO3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL3085129,6.14,=,1,=,Ki,nM,730.0,Ki,nM,730.0
CHEMBL824627,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(c3ccc(F)cc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL296397,7.37,=,1,=,Ki,nM,43.0,Ki,nM,43.0
CHEMBL824627,CC(C(=O)N[C@]1(c2ccccc2)CC[C@H](N2CCCCC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL3085124,5.92,=,1,=,Ki,nM,1200.0,Ki,nM,1200.0
CHEMBL824627,CC1CCN([C@H]2CC[C@](NC(=O)C(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)(c3ccccc3)CC2)CC1,,CHEMBL3085128,6.34,=,1,=,Ki,nM,460.0,Ki,nM,460.0
CHEMBL824627,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(=O)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL431732,5.40,=,1,=,Ki,nM,4000.0,Ki,nM,4000.0
CHEMBL824627,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC3(CC2)OCCO3)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL297344,6.00,=,1,=,Ki,nM,1000.0,Ki,nM,1000.0
CHEMBL824627,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H](N2CCC(O)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL298858,5.85,=,1,=,Ki,nM,1400.0,Ki,nM,1400.0
CHEMBL824627,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC3(CC2)CCC(C)(C)O3)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL3085132,6.02,=,1,=,Ki,nM,950.0,Ki,nM,950.0
CHEMBL824627,CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(O)(Cc3ccccc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL3085130,6.58,=,1,=,Ki,nM,260.0,Ki,nM,260.0
