dataset,split_type,model,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
chembl,cluster,chemprop_dmnn,0.501803870353487,0.055886246344166175,0.6752762020846426,0.09960925707011847,0.2253772665949585,0.034350672994706136,0.5388922540060243,0.10362779239599638,0.49922832440191456,0.04874830524082623
chembl,cluster,xgboost,0.7160067493682181,0.10960763275964709,0.7964337173348875,0.1270754536131839,0.19253419861197468,0.04695131308607305,0.6822945421063561,0.11447411621589045,0.6659104230932436,0.09335645400622773
chembl,random,chemprop_dmnn,0.526947018930036,0.08232116573933873,0.6734619694956443,0.08878769710226028,0.23831228726918688,0.042400070525621975,0.35534939531660154,0.17079034119130215,0.5076714790567618,0.04826795069030222
chembl,random,xgboost,0.7429326221245386,0.14869401562902804,0.8168119034042066,0.12011121549906183,0.19537750482559202,0.06737398053513613,0.7225521216559716,0.15837936557415352,0.6837725507222785,0.1418360639704102
chembl,scaffold,chemprop_dmnn,0.532850777551864,0.04851641138281241,0.667574378260707,0.07438515183243119,0.2312039767874269,0.029537653643101208,0.47650371757092935,0.11620122795440242,0.5267620743352446,0.03490348205974458
chembl,scaffold,xgboost,0.7098827257884028,0.11671982751734213,0.772704784267062,0.15083437130417027,0.20119333192706104,0.052824787324663,0.6396651462090529,0.14436316779346384,0.6589138045334866,0.0945512868275751
tdc,cluster,chemprop_dmnn,0.8577289377289377,0.10451512884850549,0.8806139294118788,0.10439056967141712,0.23328059217697944,0.014732313475881114,0.7933754916107857,0.08229596001600832,0.5773717948717948,0.1213235963515012
tdc,cluster,xgboost,0.7342857066139163,0.14140329833665843,0.7823013309490536,0.12413780169619061,0.21407349159320196,0.14070852040841234,0.7486451833187951,0.12479538723927681,0.7021783344901573,0.11275780309611035
tdc,random,chemprop_dmnn,0.6106751322751324,0.29368596638449035,0.7918492123680406,0.08138854258218219,0.2072660411371369,0.08173570773245453,0.7986613240074308,0.09776010460112865,0.6060211640211641,0.1603930522339839
tdc,random,xgboost,0.7699759439262148,0.12788645555185985,0.8450841776629039,0.11126279104160605,0.1840316336601972,0.07413265470445092,0.7525249497887874,0.13954768087358477,0.6948917246324366,0.1105044616784187
tdc,scaffold,chemprop_dmnn,0.5900000000000001,0.1580092838898836,0.8072591473355791,0.11664946084102272,0.2047596481411814,0.052930345556193005,0.6105099220188734,0.14768449317379054,0.5,0.0816596050573088
tdc,scaffold,xgboost,0.7436357417992039,0.17097541406488498,0.8257561617018356,0.14010439037053596,0.1771390851587057,0.07878373408740698,0.7148172672203144,0.15461497927863982,0.6908364850437525,0.16869968323042328
