parent_id,report_json,report_md,n_counterfactuals,n_dataset_analogues
05843cedc45336b4ed7f9bd1e40dfe9a20bc69df,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/05843cedc45336b4ed7f9bd1e40dfe9a20bc69df/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/05843cedc45336b4ed7f9bd1e40dfe9a20bc69df/report.md,1,2
0ab5fc1803b9adf390ab3e9ad75b2c6108efe98f,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/0ab5fc1803b9adf390ab3e9ad75b2c6108efe98f/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/0ab5fc1803b9adf390ab3e9ad75b2c6108efe98f/report.md,2,0
10b45aa88e1835ba54fb3f174ecab4b313711f93,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/10b45aa88e1835ba54fb3f174ecab4b313711f93/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/10b45aa88e1835ba54fb3f174ecab4b313711f93/report.md,5,1
11597d4bfffb81310a7a3383203b1ae64b121041,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/11597d4bfffb81310a7a3383203b1ae64b121041/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/11597d4bfffb81310a7a3383203b1ae64b121041/report.md,5,5
134001de89c8f9924655b206909a3a351e95afd9,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/134001de89c8f9924655b206909a3a351e95afd9/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/134001de89c8f9924655b206909a3a351e95afd9/report.md,5,5
1451f091fe507ebb4c11b5a51a2508d5a28531ff,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/1451f091fe507ebb4c11b5a51a2508d5a28531ff/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/1451f091fe507ebb4c11b5a51a2508d5a28531ff/report.md,5,5
14990e3e56d3f4a728199e4fe079df492e4d0e0f,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/14990e3e56d3f4a728199e4fe079df492e4d0e0f/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/14990e3e56d3f4a728199e4fe079df492e4d0e0f/report.md,4,1
20ae67ffe6fb365715533270623337b04f656686,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/20ae67ffe6fb365715533270623337b04f656686/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/20ae67ffe6fb365715533270623337b04f656686/report.md,1,0
21705d40e0177efa509d6d786d48650432d56706,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/21705d40e0177efa509d6d786d48650432d56706/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/21705d40e0177efa509d6d786d48650432d56706/report.md,5,5
29e4bd10a745bd3ba4be5fe95dd4d136737949f7,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/29e4bd10a745bd3ba4be5fe95dd4d136737949f7/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/29e4bd10a745bd3ba4be5fe95dd4d136737949f7/report.md,5,3
2f58388a144ceb04bad77c3d285f9a1edb39c1dd,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/2f58388a144ceb04bad77c3d285f9a1edb39c1dd/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/2f58388a144ceb04bad77c3d285f9a1edb39c1dd/report.md,5,5
31cc736d33d9848a196a76dac8564e760eeb7140,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/31cc736d33d9848a196a76dac8564e760eeb7140/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/31cc736d33d9848a196a76dac8564e760eeb7140/report.md,5,2
46b2801089f18d224d441e46e987706215b98910,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/46b2801089f18d224d441e46e987706215b98910/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/46b2801089f18d224d441e46e987706215b98910/report.md,5,5
5d35bbec9770128b0437f80985d2a99241439a9f,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/5d35bbec9770128b0437f80985d2a99241439a9f/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/5d35bbec9770128b0437f80985d2a99241439a9f/report.md,5,1
5ea6c3e7ad301fbabcacab37e0957bb18f0a2010,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/5ea6c3e7ad301fbabcacab37e0957bb18f0a2010/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/5ea6c3e7ad301fbabcacab37e0957bb18f0a2010/report.md,5,1
71a546711b11adbf8d7f352a83cc6805c7c5a32f,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/71a546711b11adbf8d7f352a83cc6805c7c5a32f/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/71a546711b11adbf8d7f352a83cc6805c7c5a32f/report.md,5,1
73aada1e2e67eda5237013f15911fffaaafeb49c,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/73aada1e2e67eda5237013f15911fffaaafeb49c/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/73aada1e2e67eda5237013f15911fffaaafeb49c/report.md,5,5
7a7205f68340a2895a326726c48d6d19021f08c8,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/7a7205f68340a2895a326726c48d6d19021f08c8/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/7a7205f68340a2895a326726c48d6d19021f08c8/report.md,5,5
9da84360bd49192655003b99de1e76f8a3a94388,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/9da84360bd49192655003b99de1e76f8a3a94388/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/9da84360bd49192655003b99de1e76f8a3a94388/report.md,5,2
9e73f5eb87eb44328ece8987d42b0d17ce530b02,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/9e73f5eb87eb44328ece8987d42b0d17ce530b02/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/9e73f5eb87eb44328ece8987d42b0d17ce530b02/report.md,5,1
a180e37baa48f151c00cf5a65b7810eab27a3ed7,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/a180e37baa48f151c00cf5a65b7810eab27a3ed7/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/a180e37baa48f151c00cf5a65b7810eab27a3ed7/report.md,5,5
a8a6b1664facbb6c9b5aa6f56ebb4c475a87f882,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/a8a6b1664facbb6c9b5aa6f56ebb4c475a87f882/report.json,/Users/harisreedeth/Desktop/Ogoing.hERGBench/hERGBench/reports/runs/2026-03-31_160747_seed42_stage1_signoff/lead_reports/a8a6b1664facbb6c9b5aa6f56ebb4c475a87f882/report.md,5,5
