dataset,split_type,seed,sim_bin,n,auroc,auprc,brier,f1,balanced_acc
tdc,cluster,11,0.3-0.5,23,0.6846153846153846,0.8191151734138158,0.2428303623858779,0.6428571428571429,0.5461538461538462
tdc,cluster,11,0.5-0.7,10,0.9047619047619048,0.9617346938775512,0.1251396427000097,0.9333333333333332,0.8333333333333333
tdc,cluster,11,<0.3,26,0.8579881656804733,0.8792495965572888,0.2724458942232698,0.7428571428571429,0.6538461538461539
tdc,cluster,11,>0.7,4,1.0,1.0,0.2225975821999757,0.8571428571428571,0.5
tdc,cluster,22,0.3-0.5,23,0.6384615384615385,0.7913894190004185,0.2413299646658675,0.5833333333333334,0.5692307692307692
tdc,cluster,22,0.5-0.7,10,0.9047619047619048,0.9617346938775512,0.1134513554098143,0.8571428571428571,0.7619047619047619
tdc,cluster,22,<0.3,26,0.8461538461538461,0.8702280633546617,0.2630900795049049,0.7058823529411765,0.6153846153846154
tdc,cluster,22,>0.7,4,1.0,1.0,0.2259408390562237,0.8571428571428571,0.5
tdc,cluster,33,0.3-0.5,23,0.7153846153846154,0.8246198801330973,0.2393036044276263,0.64,0.6076923076923078
tdc,cluster,33,0.5-0.7,10,0.9047619047619048,0.9617346938775512,0.1294330660586986,0.9333333333333332,0.8333333333333333
tdc,cluster,33,<0.3,26,0.8284023668639053,0.8440625164309374,0.2958690053585741,0.7428571428571429,0.6538461538461539
tdc,cluster,33,>0.7,4,1.0,1.0,0.2247092290014875,0.8571428571428571,0.5
tdc,cluster,44,0.3-0.5,23,0.6384615384615384,0.7895282005576121,0.2493244359644541,0.56,0.5192307692307692
tdc,cluster,44,0.5-0.7,10,0.9047619047619048,0.9617346938775512,0.1181784791630448,0.7692307692307693,0.6904761904761905
tdc,cluster,44,<0.3,26,0.8224852071005917,0.8509282384282384,0.2644536859286714,0.7058823529411765,0.6153846153846154
tdc,cluster,44,>0.7,4,1.0,1.0,0.2250988182796914,0.8571428571428571,0.5
tdc,cluster,55,0.3-0.5,23,0.676923076923077,0.8141462725441051,0.231349018540277,0.5714285714285714,0.4576923076923077
tdc,cluster,55,0.5-0.7,10,0.9047619047619048,0.9617346938775512,0.1211459801012271,0.9333333333333332,0.8333333333333333
tdc,cluster,55,<0.3,26,0.8343195266272189,0.8584831834831834,0.2630060918638544,0.7058823529411765,0.6153846153846154
tdc,cluster,55,>0.7,4,1.0,1.0,0.2168232031052981,0.8571428571428571,0.5
tdc,random,11,0.3-0.5,17,0.8194444444444444,0.8085457752124419,0.1171656151370905,0.9,0.875
tdc,random,11,0.5-0.7,4,,,0.2610453615992678,,
tdc,random,11,<0.3,13,0.9761904761904764,0.976190476190476,0.1016768738861876,0.8,0.7857142857142857
tdc,random,11,>0.7,30,0.88,0.972960673888861,0.0991152072225228,0.9387755102040816,0.8600000000000001
tdc,random,22,0.3-0.5,17,0.8333333333333334,0.8233605900272567,0.1130089891057864,0.7058823529411765,0.7083333333333333
tdc,random,22,0.5-0.7,4,,,0.2594440501758996,,
tdc,random,22,<0.3,13,1.0,1.0,0.0899874822585113,0.9230769230769232,0.9285714285714286
tdc,random,22,>0.7,30,0.904,0.9809095733518524,0.1072691027142322,0.7804878048780488,0.8200000000000001
tdc,random,33,0.3-0.5,17,0.8888888888888888,0.8870731120731121,0.1137812698765431,0.6666666666666666,0.7152777777777778
tdc,random,33,0.5-0.7,4,,,0.2713492176777461,,
tdc,random,33,<0.3,13,0.9047619047619048,0.8734126984126983,0.1294681402567097,0.8333333333333334,0.8452380952380952
tdc,random,33,>0.7,30,0.88,0.9764714338801296,0.1559709622632663,0.75,0.8
tdc,random,44,0.3-0.5,17,0.8888888888888888,0.8691718775052109,0.1075120903714795,0.5714285714285714,0.6597222222222222
tdc,random,44,0.5-0.7,4,,,0.2582683935132252,,
tdc,random,44,<0.3,13,0.880952380952381,0.8178571428571427,0.1253758230992244,0.8333333333333334,0.8452380952380952
tdc,random,44,>0.7,30,0.88,0.9764714338801296,0.1530529060245147,0.75,0.8
tdc,random,55,0.3-0.5,17,0.8888888888888888,0.8870731120731121,0.1182892297129151,0.75,0.7708333333333333
tdc,random,55,0.5-0.7,4,,,0.27185014043263,,
tdc,random,55,<0.3,13,0.880952380952381,0.8178571428571427,0.1222136918922124,0.9230769230769232,0.9285714285714286
tdc,random,55,>0.7,30,0.88,0.9762064988151946,0.1559462265034622,0.7804878048780488,0.8200000000000001
tdc,scaffold,11,0.3-0.5,15,1.0,1.0,0.0842314921585636,0.5,0.6666666666666666
tdc,scaffold,11,0.5-0.7,11,0.7777777777777777,0.9535634118967452,0.1353264088536065,0.75,0.5833333333333333
tdc,scaffold,11,<0.3,24,0.7481481481481481,0.7732128982128982,0.308608002179102,0.5882352941176471,0.6777777777777778
tdc,scaffold,11,>0.7,13,0.5,0.9510602823102824,0.0852225006901183,0.8181818181818182,0.375
tdc,scaffold,22,0.3-0.5,15,1.0,1.0,0.0753715670945303,0.5,0.6666666666666666
tdc,scaffold,22,0.5-0.7,11,0.8333333333333333,0.9626543209876544,0.1250745350342298,0.8,0.8333333333333333
tdc,scaffold,22,<0.3,24,0.7259259259259259,0.7364163614163615,0.3336628712037157,0.5555555555555556,0.6444444444444444
tdc,scaffold,22,>0.7,13,0.5,0.9510602823102824,0.0789063478547775,0.8695652173913043,0.4166666666666667
tdc,scaffold,33,0.3-0.5,15,1.0,1.0,0.0747165458880687,0.8,0.8333333333333333
tdc,scaffold,33,0.5-0.7,11,0.7777777777777778,0.9467813051146384,0.1319181746605869,0.75,0.5833333333333333
tdc,scaffold,33,<0.3,24,0.7259259259259259,0.7364163614163615,0.3235037838289407,0.5263157894736842,0.6111111111111112
tdc,scaffold,33,>0.7,13,0.5833333333333334,0.9614769489769492,0.0804769519701849,0.8695652173913043,0.4166666666666667
tdc,scaffold,44,0.3-0.5,15,1.0,1.0,0.0666263499124434,0.5,0.6666666666666666
tdc,scaffold,44,0.5-0.7,11,0.8333333333333333,0.9626543209876544,0.110831304559863,0.8,0.8333333333333333
tdc,scaffold,44,<0.3,24,0.7259259259259259,0.7292041836159483,0.324557622032346,0.5882352941176471,0.6777777777777778
tdc,scaffold,44,>0.7,13,0.5,0.9510602823102824,0.0798503454165499,0.8695652173913043,0.4166666666666667
tdc,scaffold,55,0.3-0.5,15,1.0,1.0,0.0737721688434963,0.5882352941176471,0.7083333333333334
tdc,scaffold,55,0.5-0.7,11,0.8333333333333333,0.9626543209876544,0.1233447147380927,0.75,0.5833333333333333
tdc,scaffold,55,<0.3,24,0.7259259259259259,0.7358465608465609,0.3255432687091267,0.5555555555555556,0.6444444444444444
tdc,scaffold,55,>0.7,13,0.5833333333333334,0.9614769489769492,0.0786626527982409,0.8695652173913043,0.4166666666666667
