dataset,split_type,sim_bin,n_mean,n_total,n_seeds,low_power,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
chembl,cluster,0.3-0.5,343.8,1719,5,False,0.6968319218696437,0.012572769076101102,0.8144057175838085,0.008525406157797424,0.2268894444673851,0.009488732909414172,0.7785633346047802,0.015180307307112333,0.6418228077374559,0.02885062781755414
chembl,cluster,0.5-0.7,222.0,1110,5,False,0.795283781933376,0.028712724276523008,0.9045882941155376,0.02930789577711244,0.16813355447403464,0.02275465247943772,0.8163251994730347,0.03705614630764816,0.7104631834011015,0.022577579860964442
chembl,cluster,<0.3,217.4,1087,5,False,0.6924099949029046,0.015699042014319615,0.7227975402254287,0.022817646129260016,0.27451058449336596,0.007410579467198032,0.6565670672463919,0.025803793742266653,0.6376597879875042,0.018271852887176403
chembl,cluster,>0.7,145.8,729,5,False,0.8569394891563803,0.018031824620281797,0.926473718023518,0.013566190069086898,0.1355096366878977,0.015997683997172746,0.8416463334215571,0.03901769629426753,0.771381885181365,0.029394865114962955
chembl,random,0.3-0.5,54.2,271,5,False,0.7294770020060731,0.1064099726563667,0.7970130272181671,0.1262200274704553,0.24151089021783062,0.0570673660533255,0.7246193894293345,0.03756109123561925,0.6813031084639454,0.06174585853148135
chembl,random,0.5-0.7,154.4,772,5,False,0.8459840372176307,0.04530405472200757,0.9232291570500711,0.01899803709880402,0.15018163962856051,0.035242181532482306,0.8166348043490901,0.029707089471903876,0.764956771275631,0.04557115063143751
chembl,random,<0.3,19.2,96,5,False,0.6670315795315795,0.1328597781890016,0.770268485878802,0.12383581200658207,0.31305690256857593,0.10762232022454064,0.6408857808857809,0.11998137951572514,0.6458916083916083,0.14987862589953688
chembl,random,>0.7,701.2,3506,5,False,0.8760403241724252,0.013487983719542093,0.9450334911938393,0.00726888055812342,0.1347195938922115,0.009518361630143512,0.841399736149491,0.007371974650867861,0.7943410940327775,0.01598104892809733
chembl,scaffold,0.3-0.5,152.6,763,5,False,0.7236162993262276,0.032467852562730576,0.7952718309357284,0.041473145885715434,0.21383368648848172,0.02537691226694095,0.7489676518849143,0.037724488875696544,0.6836153390878827,0.03187396661334127
chembl,scaffold,0.5-0.7,266.2,1331,5,False,0.8283830518138858,0.024053071140134736,0.9079335854858301,0.017651309716915746,0.1613240152534298,0.027134082504887972,0.7857676447791022,0.05250696893940997,0.7447689092378865,0.03190071907052664
chembl,scaffold,<0.3,62.2,311,5,False,0.614849525442092,0.07931734442700997,0.6394663489988127,0.09210548037369412,0.3044924355329076,0.02421064150288743,0.5544369981822006,0.06377930067885158,0.5869300574367194,0.062115171075894086
chembl,scaffold,>0.7,448.0,2240,5,False,0.8421738094785962,0.012974236823563313,0.9242839098201934,0.009740394383445703,0.1556551374188082,0.019524247654395727,0.8100420832312965,0.037484004123232724,0.7675484129132962,0.020416334166989396
