dataset,split_type,seed,sim_bin,n,auroc,auprc,brier,f1,balanced_acc
chembl,cluster,11,0.3-0.5,347,0.5580140313005936,0.7281656488039989,0.2147748073071879,0.4726224783861671,0.5484156965538509
chembl,cluster,11,0.5-0.7,218,0.5796401400797004,0.8275939586645714,0.1751682192072407,0.4894514767932489,0.569556816809564
chembl,cluster,11,<0.3,221,0.4483297679776206,0.5016374928064392,0.2927364138782647,0.4,0.4352476550929735
chembl,cluster,11,>0.7,143,0.4359158297465327,0.6855649317403647,0.2088441613058249,0.475,0.4423720707795313
chembl,cluster,22,0.3-0.5,354,0.5443740685543965,0.7217573412060443,0.2138432686725745,0.4611111111111111,0.5200819672131147
chembl,cluster,22,0.5-0.7,228,0.5453750485814225,0.7422230986553886,0.202244923472696,0.4853556485355648,0.5537310532452391
chembl,cluster,22,<0.3,211,0.4730072463768116,0.5419223420686463,0.264008661009934,0.4221105527638191,0.4638586956521739
chembl,cluster,22,>0.7,136,0.4437689969604863,0.6726581370016839,0.2171888748287439,0.5290322580645161,0.4799898682877406
chembl,cluster,33,0.3-0.5,353,0.5404615939415796,0.7145379893141858,0.2210112292624466,0.5251989389920424,0.5284349080418319
chembl,cluster,33,0.5-0.7,213,0.5454545454545455,0.7456328539750974,0.2031542332830674,0.5583333333333333,0.5565155183799251
chembl,cluster,33,<0.3,218,0.4769204851752021,0.4923003778916845,0.2764799303157844,0.4454545454545454,0.4404481132075472
chembl,cluster,33,>0.7,145,0.3691369606003752,0.6621983579540828,0.2098017687737784,0.5444444444444444,0.4063086303939962
chembl,cluster,44,0.3-0.5,332,0.531182167306729,0.7201608002246787,0.2172706041328162,0.4761904761904761,0.5354817164802137
chembl,cluster,44,0.5-0.7,220,0.5877083333333333,0.7826835835493617,0.1956605043276398,0.576,0.575
chembl,cluster,44,<0.3,223,0.498133419899367,0.5491209775812786,0.2778274453939431,0.4845814977973568,0.4778850835903262
chembl,cluster,44,>0.7,154,0.4507854444223503,0.6711649916594633,0.2164120007824755,0.5714285714285714,0.4983098031417776
chembl,cluster,55,0.3-0.5,333,0.5280109716565539,0.7280144373620956,0.2173388894003304,0.7383367139959433,0.5046546421743828
chembl,cluster,55,0.5-0.7,231,0.514795918367347,0.7685703065125964,0.1858584342641984,0.7435158501440923,0.4846428571428571
chembl,cluster,55,<0.3,214,0.4608695652173913,0.5208215641096088,0.2867889070432494,0.6382978723404256,0.5024154589371981
chembl,cluster,55,>0.7,151,0.5041928721174004,0.7287948506115802,0.211132055236974,0.7413793103448276,0.4612159329140461
chembl,random,11,0.3-0.5,58,0.3789473684210526,0.6185845123507885,0.2331318113533811,0.1739130434782608,0.4526315789473684
