config_stem,run_dir
stage2_chemprop_chembl_cluster_seed11_torch42,reports/runs/2026-04-01_121653_stage2_chemprop_cluster_seed11_torch42
stage2_chemprop_chembl_cluster_seed22_torch42,reports/runs/2026-04-01_121849_stage2_chemprop_cluster_seed22_torch42
stage2_chemprop_chembl_cluster_seed33_torch42,reports/runs/2026-04-01_122046_stage2_chemprop_cluster_seed33_torch42
stage2_chemprop_chembl_cluster_seed44_torch42,reports/runs/2026-04-01_122245_stage2_chemprop_cluster_seed44_torch42
stage2_chemprop_chembl_cluster_seed55_torch42,reports/runs/2026-04-01_122440_stage2_chemprop_cluster_seed55_torch42
stage2_chemprop_chembl_random_seed11_torch42,reports/runs/2026-04-01_122632_stage2_chemprop_random_seed11_torch42
stage2_chemprop_chembl_random_seed22_torch42,reports/runs/2026-04-01_122824_stage2_chemprop_random_seed22_torch42
stage2_chemprop_chembl_random_seed33_torch42,reports/runs/2026-04-01_123019_stage2_chemprop_random_seed33_torch42
stage2_chemprop_chembl_random_seed44_torch42,reports/runs/2026-04-01_123213_stage2_chemprop_random_seed44_torch42
stage2_chemprop_chembl_random_seed55_torch42,reports/runs/2026-04-01_123406_stage2_chemprop_random_seed55_torch42
stage2_chemprop_chembl_scaffold_seed11_torch42,reports/runs/2026-04-01_123600_stage2_chemprop_scaffold_seed11_torch42
stage2_chemprop_chembl_scaffold_seed22_torch42,reports/runs/2026-04-01_123757_stage2_chemprop_scaffold_seed22_torch42
stage2_chemprop_chembl_scaffold_seed33_torch42,reports/runs/2026-04-01_123954_stage2_chemprop_scaffold_seed33_torch42
stage2_chemprop_chembl_scaffold_seed44_torch42,reports/runs/2026-04-01_124144_stage2_chemprop_scaffold_seed44_torch42
stage2_chemprop_chembl_scaffold_seed55_torch42,reports/runs/2026-04-01_124335_stage2_chemprop_scaffold_seed55_torch42
