dataset,split_type,sim_bin,auroc_mean_chemprop_dmnn,auroc_mean_xgboost,delta_auroc_dmppn_minus_xgb,auprc_mean_chemprop_dmnn,auprc_mean_xgboost,delta_auprc_dmppn_minus_xgb,n_mean_chemprop_dmnn,n_mean_xgboost
chembl,cluster,<0.3,0.6924099949029046,0.5947925897593541,0.09761740514355044,0.7227975402254287,0.6124593586904827,0.11033818153494601,217.4,217.4
chembl,cluster,0.3-0.5,0.6968319218696437,0.633143506121143,0.0636884157485007,0.8144057175838085,0.7611144009905283,0.053291316593280236,343.8,343.8
chembl,cluster,0.5-0.7,0.795283781933376,0.7915464384294701,0.0037373435039058656,0.9045882941155376,0.8969794808047432,0.007608813310794438,222.0,222.0
chembl,cluster,>0.7,0.8569394891563803,0.844544463162905,0.012395025993475306,0.926473718023518,0.9151816288537956,0.011292089169722352,145.8,145.8
chembl,random,<0.3,0.6670315795315795,0.5833576146076146,0.08367396492396495,0.770268485878802,0.6727478782630125,0.09752060761578951,19.2,19.2
chembl,random,0.3-0.5,0.7294770020060731,0.6878500736175981,0.04162692838847504,0.7970130272181671,0.7569680083421296,0.04004501887603751,54.2,54.2
chembl,random,0.5-0.7,0.8459840372176307,0.827021292242694,0.018962744974936663,0.9232291570500712,0.902374292734559,0.0208548643155122,154.4,154.4
chembl,random,>0.7,0.8760403241724252,0.8735015080302482,0.0025388161421769917,0.9450334911938392,0.9351574342771252,0.009876056916714004,701.2,701.2
chembl,scaffold,<0.3,0.614849525442092,0.5632971385530993,0.051552386888992774,0.6394663489988127,0.5574454367350367,0.08202091226377606,62.2,62.2
chembl,scaffold,0.3-0.5,0.7236162993262276,0.6570744033865487,0.06654189593967896,0.7952718309357284,0.7477219894881777,0.0475498414475507,152.6,152.6
chembl,scaffold,0.5-0.7,0.8283830518138858,0.7845386242648758,0.04384442754901008,0.90793358548583,0.8739708798430069,0.03396270564282311,266.2,266.2
chembl,scaffold,>0.7,0.8421738094785962,0.8346207369490882,0.007553072529507987,0.9242839098201934,0.9116808310020266,0.012603078818166802,448.0,448.0
