dataset,split_type,model,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
chembl,cluster,chemprop_dmnn,0.7603662969655762,0.07334771075393287,0.8420663174870733,0.08481064710604141,0.20126080503067087,0.056610187136498895,0.7732754836864408,0.0781532230568507,0.6903319160768566,0.06098721116583853
chembl,cluster,xgboost,0.7160067493682181,0.10960763275964709,0.7964337173348875,0.1270754536131839,0.19253419861197468,0.04695131308607305,0.6822945421063561,0.11447411621589045,0.6659104230932436,0.09335645400622773
chembl,random,chemprop_dmnn,0.7796332357319272,0.11905205090761904,0.8588860403352199,0.1130756770748509,0.20986725657679464,0.09430696461446808,0.7558849277034241,0.10078670413139942,0.7216231455409906,0.09922501814018665
chembl,random,xgboost,0.7429326221245386,0.14869401562902804,0.8168119034042066,0.12011121549906183,0.19537750482559202,0.06737398053513613,0.7225521216559716,0.15837936557415352,0.6837725507222785,0.1418360639704102
chembl,scaffold,chemprop_dmnn,0.7522556715152006,0.10266852524344061,0.8167389188101412,0.12592468559499925,0.20882631867340687,0.06516941688289338,0.7248035945193784,0.11275645515948607,0.6957156796689462,0.08044918662033662
chembl,scaffold,xgboost,0.7098827257884028,0.11671982751734213,0.772704784267062,0.15083437130417027,0.20119333192706104,0.052824787324663,0.6396651462090529,0.14436316779346384,0.6589138045334866,0.0945512868275751
tdc,cluster,chemprop_dmnn,0.8099901380670611,0.16215132842988528,0.892454281304586,0.07965643502692771,0.2141682080620931,0.050196496861219284,0.7618596617234388,0.13157419106422202,0.626996336996337,0.13511255763448993
tdc,cluster,xgboost,0.7342857066139163,0.14140329833665843,0.7823013309490536,0.12413780169619061,0.21407349159320196,0.14070852040841234,0.7486451833187951,0.12479538723927681,0.7021783344901573,0.11275780309611035
tdc,random,chemprop_dmnn,0.8895015873015875,0.0459744779427352,0.9056182922491736,0.0740868055965651,0.1562300047520122,0.0649481309526507,0.791216227381641,0.10132923505894552,0.8089814814814815,0.06912762304524608
tdc,random,xgboost,0.7699759439262148,0.12788645555185985,0.8450841776629039,0.11126279104160605,0.1840316336601972,0.07413265470445092,0.7525249497887874,0.13954768087358477,0.6948917246324366,0.1105044616784187
tdc,scaffold,chemprop_dmnn,0.7683333333333334,0.17375328161919343,0.9128510135924351,0.10504686613412904,0.15136169962949036,0.1059679220781756,0.6890627604623432,0.15132393455439072,0.6123611111111111,0.1428427702669752
tdc,scaffold,xgboost,0.7436357417992039,0.17097541406488498,0.8257561617018356,0.14010439037053596,0.1771390851587057,0.07878373408740698,0.7148172672203144,0.15461497927863982,0.6908364850437525,0.16869968323042328
