number,value,datetime_start,datetime_complete,duration,params_batch_size,params_depth,params_dropout,params_final_lr,params_init_lr,params_max_lr,params_message_hidden_dim,state
0,0.7297034315163642,2026-01-27 23:51:21.960690,2026-01-28 00:04:50.286953,0 days 00:13:28.326263,32,5,0.1200679032933098,8.22065007659929e-05,0.00028792554747624074,0.0005292597985410207,400,COMPLETE
1,0.7022384881171334,2026-01-28 00:04:50.287881,2026-01-28 00:16:24.207194,0 days 00:11:33.919313,64,5,0.19011133492770826,0.00033241096102172503,0.00018282158274207815,0.002420616212523603,300,COMPLETE
2,0.6827274247589944,2026-01-28 00:16:24.210091,2026-01-28 00:28:39.772204,0 days 00:12:15.562113,128,3,0.13966977223135138,0.00012640821074771398,0.0002047329236988179,0.0008467451431322873,400,COMPLETE
3,0.7444353947287531,2026-01-28 00:28:39.774513,2026-01-28 00:41:12.346819,0 days 00:12:32.572306,32,3,0.06776149476215974,0.0001399180160467858,0.0009137419164289498,0.0009940837662016863,400,COMPLETE
4,0.7449587683332158,2026-01-28 00:41:12.350223,2026-01-28 00:54:58.555299,0 days 00:13:46.205076,32,5,0.15050746429619288,0.0008723623461770963,0.00010222445911898665,0.0024799052716839194,600,COMPLETE
5,0.6985193274652404,2026-01-28 00:54:58.556753,2026-01-28 01:06:25.845406,0 days 00:11:27.288653,128,5,0.10537420530412323,7.513596299869057e-05,0.0005488156144904292,0.0019996990106187257,400,COMPLETE
6,0.6872021329495485,2026-01-28 01:06:25.848736,2026-01-28 01:18:04.065543,0 days 00:11:38.216807,64,3,0.041762519394251,0.00014326969745524141,0.00012178891058325144,0.0012461021662824525,300,COMPLETE
7,0.6832836071699384,2026-01-28 01:18:04.068793,2026-01-28 01:29:20.423697,0 days 00:11:16.354904,64,4,0.13647698474775155,0.0010068852663260661,9.53343284381753e-05,0.002278175170158045,300,COMPLETE
8,0.6937244770856336,2026-01-28 01:29:20.427581,2026-01-28 01:41:53.492311,0 days 00:12:33.064730,32,3,0.1654799054955436,0.0004107813869052864,0.00021053651538817367,0.0005572844501920942,400,COMPLETE
9,0.7491715046052043,2026-01-28 01:41:53.496146,2026-01-28 01:53:16.171145,0 days 00:11:22.674999,64,5,0.03877283387872019,7.809489774904348e-05,0.0014481102626902806,0.002153326442378135,300,COMPLETE
10,0.7248240916752011,2026-01-28 01:53:16.173902,2026-01-28 02:04:37.012893,0 days 00:11:20.838991,64,4,0.0035392633026774117,5.0348334998403474e-05,0.001434237880802474,0.0015325796636745175,200,COMPLETE
11,0.7218971619805218,2026-01-28 02:04:37.015012,2026-01-28 02:17:15.785108,0 days 00:12:38.770096,32,5,0.06410917874172334,0.0019863161094088285,0.0028556697181573005,0.0029594148920550345,600,COMPLETE
12,0.6872412402206839,2026-01-28 02:17:15.789774,2026-01-28 02:28:46.356293,0 days 00:11:30.566519,64,4,0.0009876857382776008,0.000692452363393234,6.0161716737271e-05,0.001710113511133936,600,COMPLETE
13,0.7502029936983933,2026-01-28 02:28:46.358885,2026-01-28 02:41:27.813297,0 days 00:12:41.454412,32,5,0.08046571050230147,0.0023445463113232878,0.0005722160959064949,0.002671929793587935,600,COMPLETE
14,0.7038018593671613,2026-01-28 02:41:27.814758,2026-01-28 02:52:44.918610,0 days 00:11:17.103852,128,5,0.07331551282589407,0.002636639482966421,0.0005255108043743737,0.002866176952152153,200,COMPLETE
15,0.7487195715039623,2026-01-28 02:52:44.921910,2026-01-28 03:05:21.803417,0 days 00:12:36.881507,32,4,0.032137334838590007,0.00022013464729460155,0.0006184918170464734,0.0017397210307078224,600,COMPLETE
16,0.7333683199691934,2026-01-28 03:05:21.805567,2026-01-28 03:16:50.603016,0 days 00:11:28.797449,64,5,0.08792595562346603,0.0005195268662534694,0.0010763636150030102,0.001460896535395494,300,COMPLETE
17,0.7538257912579234,2026-01-28 03:16:50.606416,2026-01-28 03:28:07.869387,0 days 00:11:17.262971,64,4,0.03471790782657473,0.0002410740707224831,0.001784165255697461,0.002018330180934311,300,COMPLETE
18,0.7394182465519987,2026-01-28 03:28:07.874158,2026-01-28 03:40:48.901680,0 days 00:12:41.027522,32,4,0.023636415310312436,0.00023689633208201155,0.0003463360892110556,0.0010127172863157745,600,COMPLETE
19,0.693667515370808,2026-01-28 03:40:48.902476,2026-01-28 03:52:05.429467,0 days 00:11:16.526991,128,4,0.054648750476432126,0.001417943097183852,0.0019702198799622476,0.001985804469322444,200,COMPLETE
20,0.7559000741781571,2026-01-28 03:52:05.432373,2026-01-28 04:04:44.223166,0 days 00:12:38.790793,32,4,0.09587963733602564,0.00027291158290935883,0.000809275333795509,0.002643758562680541,600,COMPLETE
21,0.7467591066190887,2026-01-28 04:04:44.225939,2026-01-28 04:17:42.408677,0 days 00:12:58.182738,32,4,0.09696555547897098,0.00025011272757053093,0.0008463486276881154,0.0026466470270941392,600,COMPLETE
22,0.7351988883508866,2026-01-28 04:17:42.411922,2026-01-28 04:30:23.372931,0 days 00:12:40.961009,32,4,0.08492237889026887,0.0005108572963381087,0.0020343793249691425,0.002977388488712128,600,COMPLETE
23,0.7582965145075259,2026-01-28 04:30:23.375082,2026-01-28 04:49:20.438360,0 days 00:18:57.063278,32,4,0.11594437070626272,0.0001762279539753691,0.0003842258828728907,0.0019630994149733827,600,COMPLETE
24,0.7308193630246695,2026-01-28 04:49:20.441304,2026-01-28 05:01:55.569608,0 days 00:12:35.128304,32,4,0.11588268824144812,0.00018174942331586276,0.0003866984472086687,0.0018182368805151642,300,COMPLETE
