number,value,datetime_start,datetime_complete,duration,params_batch_size,params_depth,params_dropout,params_final_lr,params_init_lr,params_max_lr,params_message_hidden_dim,state
0,0.841739526833074,2026-01-28 05:01:57.350775,2026-01-28 05:14:09.712900,0 days 00:12:12.362125,64,4,0.10422738106802328,0.00011727025293092743,0.0002569236097709011,0.0006227450381242833,200,COMPLETE
1,0.8542266189147337,2026-01-28 05:14:09.714584,2026-01-28 05:25:28.292043,0 days 00:11:18.577459,64,4,0.02181987853892522,0.002221838345940506,0.0013368944362692765,0.002252378063456207,200,COMPLETE
2,0.8568490810672672,2026-01-28 05:25:28.294395,2026-01-28 05:36:48.558487,0 days 00:11:20.264092,64,3,0.04193724611330196,0.0012864538559220011,0.000943347445008342,0.0015903368289832446,300,COMPLETE
3,0.816444663289924,2026-01-28 05:36:48.560622,2026-01-28 05:49:24.922916,0 days 00:12:36.362294,128,4,0.08646670654518558,0.0005147339898172049,0.0002676066683335774,0.0005321345907674186,600,COMPLETE
4,0.8099646788597341,2026-01-28 05:49:24.925097,2026-01-28 06:02:38.114398,0 days 00:13:13.189301,128,5,0.10031470218810778,0.0005036439935399347,0.00014275116557105694,0.0006985711608127413,200,COMPLETE
5,0.825697398606336,2026-01-28 06:02:38.115409,2026-01-28 06:14:12.746575,0 days 00:11:34.631166,128,3,0.07321405854292798,5.9937742418170864e-05,0.0008491338114673844,0.0010100777216115573,600,COMPLETE
6,0.8509056740959824,2026-01-28 06:14:12.748215,2026-01-28 06:26:54.848470,0 days 00:12:42.100255,32,4,0.1228594528719796,0.0022771243813488537,0.0004992355387677891,0.0026260596529608755,600,COMPLETE
7,0.8391522840379126,2026-01-28 06:26:54.851695,2026-01-28 06:39:09.056235,0 days 00:12:14.204540,64,3,0.041955475522885324,0.00018708273363492265,0.00010843051088894555,0.0005921115471014075,300,COMPLETE
8,0.8251465002666889,2026-01-28 06:39:09.059124,2026-01-28 06:51:24.436596,0 days 00:12:15.377472,128,3,0.09806476800771712,0.00022423566062122175,0.0006889711133620123,0.0010734772637103621,400,COMPLETE
9,0.8394083859829437,2026-01-28 06:51:24.439281,2026-01-28 07:04:10.046907,0 days 00:12:45.607626,32,5,0.10222279026686608,0.0019459424648336971,0.0003945590732552563,0.0019881699861511986,600,COMPLETE
10,0.8481677931823861,2026-01-28 07:04:10.050391,2026-01-28 07:15:27.743399,0 days 00:11:17.693008,64,3,0.1752707811229771,0.0007214994222979497,5.845529354631095e-05,0.00162702483986074,300,COMPLETE
11,0.8664642696056691,2026-01-28 07:15:27.747512,2026-01-28 07:27:39.187518,0 days 00:12:11.440006,64,4,0.015028661268886329,0.0011736939178667578,0.0021662468100944613,0.0027531329437853903,200,COMPLETE
12,0.8456369103478243,2026-01-28 07:27:39.189535,2026-01-28 07:39:04.944796,0 days 00:11:25.755261,64,5,0.004857057328874816,0.0009666464136374175,0.0013556160507300842,0.001535223086750104,300,COMPLETE
13,0.8616004070779599,2026-01-28 07:39:04.948411,2026-01-28 07:50:24.210314,0 days 00:11:19.261903,64,3,0.044531068880765884,0.0009544109352790754,0.001456506575409402,0.0014648428724496022,400,COMPLETE
14,0.867213230435906,2026-01-28 07:50:24.213066,2026-01-28 08:01:49.588740,0 days 00:11:25.375674,64,4,0.05565508562308054,0.001254374412795814,0.0028273140876133853,0.0029334487357225514,400,COMPLETE
15,0.8641990171266323,2026-01-28 08:01:49.592261,2026-01-28 08:18:03.134677,0 days 00:16:13.542416,64,4,0.06404948994747175,0.00030912553140616527,0.002531973381251353,0.002911986825018943,400,COMPLETE
16,0.8847317177398117,2026-01-28 08:18:03.138621,2026-01-28 08:31:42.968304,0 days 00:13:39.829683,32,4,0.00848471273202471,0.0012716029109551275,0.0023038111700879322,0.00243674171955573,200,COMPLETE
17,0.8767422965743059,2026-01-28 08:31:42.971662,2026-01-28 08:44:39.708136,0 days 00:12:56.736474,32,5,0.1479066831541404,0.0004594034642819259,0.001569236051243779,0.0021236419963151128,400,COMPLETE
18,0.852496639439792,2026-01-28 08:44:39.710645,2026-01-28 08:57:19.075144,0 days 00:12:39.364499,32,5,0.15207586681390686,0.0005140606322538173,0.0005843105994354612,0.002058543137801626,200,COMPLETE
19,0.829795608185173,2026-01-28 08:57:19.076966,2026-01-28 09:10:09.197331,0 days 00:12:50.120365,32,5,0.1404497249409089,0.00034472215993344544,0.0003917139151776482,0.0008413682787335867,400,COMPLETE
20,0.8845331937398886,2026-01-28 09:10:09.199331,2026-01-28 09:22:47.648560,0 days 00:12:38.449229,32,5,0.19091995695849712,0.00011671068751724456,0.0016323689788948347,0.0022725552394332366,400,COMPLETE
21,0.8921715907870791,2026-01-28 09:22:47.650007,2026-01-28 09:38:09.205528,0 days 00:15:21.555521,32,5,0.19673107105476242,7.537281878440799e-05,0.0015826242326469017,0.0022789999142471627,400,COMPLETE
22,0.8768407955153402,2026-01-28 09:38:09.207918,2026-01-28 09:56:00.714687,0 days 00:17:51.506769,32,5,0.19462363512226136,5.103977334563211e-05,0.001120626623366889,0.0023304828344197317,400,COMPLETE
23,0.8512860177295519,2026-01-28 09:56:00.717091,2026-01-28 10:13:47.321758,0 days 00:17:46.604667,32,5,0.18618556385394533,8.572392991990313e-05,0.0008210385089299436,0.0013427212748338127,400,COMPLETE
24,0.848817295137231,2026-01-28 10:13:47.325023,2026-01-28 10:31:25.191085,0 days 00:17:37.866062,32,5,0.170858279052061,0.0001268260916197925,0.0010869498978418764,0.0018173132802137809,200,COMPLETE
