number,value,datetime_start,datetime_complete,duration,params_batch_size,params_depth,params_dropout,params_final_lr,params_init_lr,params_max_lr,params_message_hidden_dim,state
0,0.791286647190649,2026-01-28 10:31:27.678820,2026-01-28 10:50:51.753457,0 days 00:19:24.074637,128,4,0.016045153644550416,0.00013041579644558618,5.116682066988486e-05,0.0011222337637531526,200,COMPLETE
1,0.775286364104683,2026-01-28 10:50:51.755491,2026-01-28 11:06:39.675403,0 days 00:15:47.919912,128,3,0.13949101660692062,0.0025126054629910073,0.0008312818327922371,0.002880260765040348,600,COMPLETE
2,0.7781436765769838,2026-01-28 11:06:39.681803,2026-01-28 11:22:12.887863,0 days 00:15:33.206060,128,4,0.18734336143970187,0.00012148928141715987,0.0005292290140948747,0.0011647391637236695,400,COMPLETE
3,0.7857729491800239,2026-01-28 11:22:12.895220,2026-01-28 11:35:40.719953,0 days 00:13:27.824733,64,5,0.0922379945672993,0.0020821828279085,0.0021144300053247034,0.0024393808641108264,300,COMPLETE
4,0.7932453366493384,2026-01-28 11:35:40.724181,2026-01-28 11:48:47.764063,0 days 00:13:07.039882,128,4,0.07480101610079885,0.00025961977029384916,0.00037314528446062646,0.00254524670472459,200,COMPLETE
5,0.7519274317512288,2026-01-28 11:48:47.765729,2026-01-28 12:01:27.477777,0 days 00:12:39.712048,64,5,0.049080663093893744,0.00031899376060855536,6.768760160156199e-05,0.0017932531441266395,400,COMPLETE
6,0.7823050343573699,2026-01-28 12:01:27.479778,2026-01-28 12:14:42.667686,0 days 00:13:15.187908,128,5,0.061143360529941404,0.0002948762956899309,0.00013561212141945803,0.0020718372554408447,200,COMPLETE
7,0.805092237308815,2026-01-28 12:14:42.671103,2026-01-28 12:27:04.077640,0 days 00:12:21.406537,128,4,0.03448966858954466,0.0004606640102458984,0.002118335019295927,0.002211049006879188,600,COMPLETE
8,0.7775958500987374,2026-01-28 12:27:04.082634,2026-01-28 12:39:23.154586,0 days 00:12:19.071952,64,4,0.19541397846922437,0.00027411443039016643,0.0002504946862558364,0.0015728301401797115,400,COMPLETE
9,0.784584847553299,2026-01-28 12:39:23.157211,2026-01-28 12:52:26.210935,0 days 00:13:03.053724,128,4,0.18633043389888015,7.500087985962668e-05,0.00016597608932826134,0.0010421575561816473,300,COMPLETE
10,0.7844893686156178,2026-01-28 12:52:26.214752,2026-01-28 13:06:12.193954,0 days 00:13:45.979202,32,3,0.0011104539982951037,0.0004789349693431461,0.00010343091331001963,0.0005679728465224603,600,COMPLETE
11,0.8088275564589029,2026-01-28 13:06:12.195790,2026-01-28 13:18:57.684985,0 days 00:12:45.489195,32,3,0.05754996190560704,0.000718250057572012,0.0025645063042775904,0.002567840850352262,200,COMPLETE
12,0.791483629175645,2026-01-28 13:18:57.687454,2026-01-28 13:32:19.530346,0 days 00:13:21.842892,32,3,0.03712261078648621,0.0008166996470993688,0.0015261713183507084,0.0015284815138302823,600,COMPLETE
13,0.793455001232974,2026-01-28 13:32:19.533209,2026-01-28 13:48:39.668667,0 days 00:16:20.135458,32,3,0.13059690709758456,0.000563715630339942,0.0005605501400909611,0.0007258177403812111,200,COMPLETE
14,0.8036289335892145,2026-01-28 13:48:39.673131,2026-01-28 14:01:46.608510,0 days 00:13:06.935379,32,3,0.02826726546271298,0.0009722124355179293,0.0011164791896829463,0.002147922487282506,600,COMPLETE
15,0.80635406118785,2026-01-28 14:01:46.609231,2026-01-28 14:15:11.492170,0 days 00:13:24.882939,32,3,0.10987340614305628,0.0012744804366690366,0.0027006698954314444,0.0028202073845166394,200,COMPLETE
16,0.80635406118785,2026-01-28 14:15:11.495746,2026-01-28 14:29:06.022058,0 days 00:13:54.526312,32,3,0.11404679563903006,0.0012353821268378873,0.00276458861790738,0.0029442786934041117,200,COMPLETE
17,0.798541442351502,2026-01-28 14:29:06.023009,2026-01-28 14:42:02.370845,0 days 00:12:56.347836,32,3,0.1572769013101137,0.000750199397137398,0.0007610815426552499,0.001516331210985763,200,COMPLETE
18,0.7933031473444314,2026-01-28 14:42:02.373126,2026-01-28 14:56:40.059759,0 days 00:14:37.686633,32,3,0.09205410630963784,0.0001551144147938218,0.00028128576536029065,0.0009185988435619183,200,COMPLETE
19,0.7883585019302,2026-01-28 14:56:40.063503,2026-01-28 15:09:20.977371,0 days 00:12:40.913868,32,3,0.07276230236486077,0.0014601740074090992,0.0011223369644311292,0.0019141921251826849,200,COMPLETE
20,0.8141754436632687,2026-01-28 15:09:20.980063,2026-01-28 15:22:19.540976,0 days 00:12:58.560913,32,3,0.11113299016656511,0.0015302600300288159,0.0014881725210364176,0.002993043255197905,300,COMPLETE
21,0.7937257250255173,2026-01-28 15:22:19.543611,2026-01-28 15:35:15.285886,0 days 00:12:55.742275,32,3,0.11231958894539334,0.0016597995009769533,0.0029287863106968836,0.002951562342445205,300,COMPLETE
22,0.8104808794857208,2026-01-28 15:35:15.290574,2026-01-28 15:47:50.348737,0 days 00:12:35.058163,32,3,0.1545344032374801,0.0011819902017579176,0.0015090485424298868,0.0024464216719859715,300,COMPLETE
23,0.8148259031474318,2026-01-28 15:47:50.351101,2026-01-28 16:02:04.901539,0 days 00:14:14.550438,32,3,0.1643294210770928,0.0006854410357978105,0.001409594603601981,0.0024587074111953795,300,COMPLETE
24,0.8029875681399119,2026-01-28 16:02:04.902283,2026-01-28 16:18:26.184357,0 days 00:16:21.282074,32,3,0.16665524846166235,0.0010828955505672035,0.0012250352471491434,0.0018257303297428288,300,COMPLETE
