parent_id,report_json,report_md,n_counterfactuals,n_dataset_analogues
0af869741c2c90b24b129daa70ac5d88e63f5269,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/0af869741c2c90b24b129daa70ac5d88e63f5269/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/0af869741c2c90b24b129daa70ac5d88e63f5269/report.md,5,0
0f56b05bdc40933c25003dc7a17eb6abdb77d1e9,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/0f56b05bdc40933c25003dc7a17eb6abdb77d1e9/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/0f56b05bdc40933c25003dc7a17eb6abdb77d1e9/report.md,5,0
28ab133eb0cab0600a71e8011ffa8cb59006af6e,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/28ab133eb0cab0600a71e8011ffa8cb59006af6e/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/28ab133eb0cab0600a71e8011ffa8cb59006af6e/report.md,5,3
32b0f4dc11d720f6d562a905d73c461574baf552,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/32b0f4dc11d720f6d562a905d73c461574baf552/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/32b0f4dc11d720f6d562a905d73c461574baf552/report.md,1,5
527ee3e0a48b385d795ee738fd1037a5b6cdcfe5,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/527ee3e0a48b385d795ee738fd1037a5b6cdcfe5/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/527ee3e0a48b385d795ee738fd1037a5b6cdcfe5/report.md,5,0
637679562b622db5d3e779df2b670d634e37618d,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/637679562b622db5d3e779df2b670d634e37618d/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/637679562b622db5d3e779df2b670d634e37618d/report.md,5,5
6d8bb92d758e8206cf47eef14306472e5a43b556,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/6d8bb92d758e8206cf47eef14306472e5a43b556/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/6d8bb92d758e8206cf47eef14306472e5a43b556/report.md,5,0
6dccdc2a597b0cc6a47a610c20ceb29232c73608,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/6dccdc2a597b0cc6a47a610c20ceb29232c73608/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/6dccdc2a597b0cc6a47a610c20ceb29232c73608/report.md,5,5
6eb82aa716e9aaeb464acf80ea5156b15a44f160,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/6eb82aa716e9aaeb464acf80ea5156b15a44f160/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/6eb82aa716e9aaeb464acf80ea5156b15a44f160/report.md,5,0
86fcc24492f4309bcb809ceb104d043f0175ba1b,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/86fcc24492f4309bcb809ceb104d043f0175ba1b/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/86fcc24492f4309bcb809ceb104d043f0175ba1b/report.md,5,5
8c0230bad0126918fc2bea5c36e0ab5c09c59b30,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/8c0230bad0126918fc2bea5c36e0ab5c09c59b30/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/8c0230bad0126918fc2bea5c36e0ab5c09c59b30/report.md,2,0
a20f74e3f8ebfea51b2477906e00b06b1ca1e4b7,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/a20f74e3f8ebfea51b2477906e00b06b1ca1e4b7/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/a20f74e3f8ebfea51b2477906e00b06b1ca1e4b7/report.md,5,0
b53d5d72d6a789017275eb7570a60c2fbb91feb8,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/b53d5d72d6a789017275eb7570a60c2fbb91feb8/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/b53d5d72d6a789017275eb7570a60c2fbb91feb8/report.md,5,5
bc119b6e181cb262689f3789e09ebd2d7fe97cc6,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/bc119b6e181cb262689f3789e09ebd2d7fe97cc6/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/bc119b6e181cb262689f3789e09ebd2d7fe97cc6/report.md,5,2
bedb61b76375e97d9de140e8a85defc38b36e6ec,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/bedb61b76375e97d9de140e8a85defc38b36e6ec/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/bedb61b76375e97d9de140e8a85defc38b36e6ec/report.md,5,0
c9d5fe643178cae91655a380b086635ed528f4f6,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/c9d5fe643178cae91655a380b086635ed528f4f6/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/c9d5fe643178cae91655a380b086635ed528f4f6/report.md,5,0
cb5c22de0ccdcf673936f4c8d07dfbd3f9a4aebb,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/cb5c22de0ccdcf673936f4c8d07dfbd3f9a4aebb/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/cb5c22de0ccdcf673936f4c8d07dfbd3f9a4aebb/report.md,5,2
f1e739712c4f137b4f35c4a464d73a86510c2f4b,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/f1e739712c4f137b4f35c4a464d73a86510c2f4b/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/f1e739712c4f137b4f35c4a464d73a86510c2f4b/report.md,5,5
f9b723494f62a056148857a25337c48eaa4638ef,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/f9b723494f62a056148857a25337c48eaa4638ef/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/f9b723494f62a056148857a25337c48eaa4638ef/report.md,1,2
fed009dbfb11625a971ea56dc6327d725e225cf5,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/fed009dbfb11625a971ea56dc6327d725e225cf5/report.json,/workspace/hERGBench/reports/lead_opt_literature_audit_chembl/cluster_pilot/generation/run/lead_reports/fed009dbfb11625a971ea56dc6327d725e225cf5/report.md,5,1
