output_path,asset_type,source_files,short_description
reports/preprint_assets_v1/tables/table_cluster_stage1_vs_stage2.csv,table_csv,hERGBench_Stage1_SignOff_v2_triple_seed11/inputs/benchmarks/benchmark_results.csv; hERGBench_Stage1_SignOff_v2_triple_seed11/models_calibrators/model_meta_cluster_seed11.json; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_summary.csv; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_runs.csv,Primary cluster Stage 1 vs Stage 2 comparison table.
reports/preprint_assets_v1/tables/table_cluster_stage1_vs_stage2.tex,table_tex,hERGBench_Stage1_SignOff_v2_triple_seed11/inputs/benchmarks/benchmark_results.csv; hERGBench_Stage1_SignOff_v2_triple_seed11/models_calibrators/model_meta_cluster_seed11.json; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_summary.csv; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_runs.csv,LaTeX version of the primary cluster Stage 1 vs Stage 2 comparison table.
reports/preprint_assets_v1/tables/table_stage2_cluster_multitorch_runs.csv,table_csv,hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_summary.csv; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_runs.csv,Per-seed Stage 2 cluster multitorch manuscript table.
reports/preprint_assets_v1/tables/table_stage2_cluster_multitorch_runs.tex,table_tex,hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_summary.csv; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_runs.csv,LaTeX version of the per-seed Stage 2 cluster multitorch manuscript table.
reports/preprint_assets_v1/tables/table_stage2_cluster_multitorch_summary.csv,table_csv,hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_summary.csv; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_runs.csv,Summary Stage 2 cluster multitorch manuscript table.
reports/preprint_assets_v1/tables/table_stage2_cluster_multitorch_summary.tex,table_tex,hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_summary.csv; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_runs.csv,LaTeX version of the summary Stage 2 cluster multitorch manuscript table.
reports/preprint_assets_v1/figures/fig_cluster_stage1_vs_stage2_main.png,figure_png,hERGBench_Stage1_SignOff_v2_triple_seed11/inputs/benchmarks/benchmark_results.csv; hERGBench_Stage1_SignOff_v2_triple_seed11/models_calibrators/model_meta_cluster_seed11.json; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_summary.csv; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_runs.csv,Main cluster comparison figure.
reports/preprint_assets_v1/figures/fig_cluster_stage1_vs_stage2_main.pdf,figure_pdf,hERGBench_Stage1_SignOff_v2_triple_seed11/inputs/benchmarks/benchmark_results.csv; hERGBench_Stage1_SignOff_v2_triple_seed11/models_calibrators/model_meta_cluster_seed11.json; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_summary.csv; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_runs.csv,PDF version of the main cluster comparison figure.
reports/preprint_assets_v1/figures/fig_stage2_cluster_seed_variation.png,figure_png,hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_summary.csv; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_runs.csv,Stage 2 cluster seed-variation figure.
reports/preprint_assets_v1/figures/fig_stage2_cluster_seed_variation.pdf,figure_pdf,hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_summary.csv; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_runs.csv,PDF version of the Stage 2 cluster seed-variation figure.
reports/preprint_assets_v1/figures/fig_stage2_cluster_operating_point.png,figure_png,hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_summary.csv; hERGBench_Stage2_Cluster_None_MultiTorch_v1/outputs/metrics/stage2_cluster_none_multitorch_runs.csv,Stage 2 cluster operating-point figure.
