dataset,split_type,seed,sim_bin,n,auroc,auprc,f1,balanced_acc,brier
chembl,random,11,<0.3,13,0.41666666666666663,0.6575498575498575,0.5333333333333333,0.4722222222222222,0.2758672535419464
chembl,random,11,0.3-0.5,58,0.7250000000000001,0.7996844729429868,0.7671232876712328,0.6934210526315789,0.19316551089286804
chembl,random,11,0.5-0.7,154,0.836697247706422,0.9173466896560019,0.8080808080808081,0.7669724770642202,0.1508226990699768
chembl,random,11,>0.7,704,0.8895268474215843,0.9387977134322478,0.8429203539823009,0.8178628389154705,0.11910098046064377
chembl,random,22,<0.3,19,0.6761363636363636,0.7723810214240837,0.7272727272727273,0.6761363636363636,0.23340816795825958
chembl,random,22,0.3-0.5,45,0.7142857142857142,0.7478042449877488,0.7058823529411765,0.6607142857142857,0.26661786437034607
chembl,random,22,0.5-0.7,159,0.8456268768768768,0.9062387194261448,0.8325358851674641,0.7773085585585586,0.13843610882759094
chembl,random,22,>0.7,706,0.8786956307571054,0.9427129419087625,0.8211920529801324,0.7961775282005812,0.12563209235668182
chembl,random,33,<0.3,13,0.40476190476190477,0.549512987012987,0.16666666666666666,0.22619047619047616,0.3353586196899414
chembl,random,33,0.3-0.5,70,0.596695821185617,0.7924580668333606,0.6511627906976745,0.5714285714285714,0.2270716428756714
chembl,random,33,0.5-0.7,161,0.804257528556594,0.8792737648828766,0.7628865979381443,0.7254240221529942,0.16704310476779938
chembl,random,33,>0.7,685,0.8533919702850465,0.9221780354504395,0.8236607142857143,0.7803618379867284,0.13420018553733826
chembl,random,44,<0.3,24,0.5868055555555556,0.652244243276852,0.56,0.5416666666666667,0.3051253855228424
chembl,random,44,0.3-0.5,47,0.6245421245421245,0.6523310670908524,0.7142857142857143,0.6465201465201466,0.2733694314956665
chembl,random,44,0.5-0.7,160,0.791094584286804,0.8990210382574059,0.7981220657276995,0.7206331045003813,0.16851726174354553
chembl,random,44,>0.7,698,0.8642410449038782,0.9311786252085295,0.8374070138150903,0.7741865640829397,0.13172267377376556
chembl,random,55,<0.3,27,0.8324175824175823,0.732051282051282,0.72,0.739010989010989,0.19435228407382965
chembl,random,55,0.3-0.5,51,0.7787267080745343,0.7925621898556994,0.7169811320754716,0.7088509316770186,0.21091511845588684
chembl,random,55,0.5-0.7,138,0.8574302237867739,0.9099912514503664,0.8248587570621468,0.7909228061352778,0.13449743390083313
