split_type,sim_bin,n_mean,n_total,n_seeds,low_power,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
cluster,0.3-0.5,24.2,121,5,FALSE,0.7234,0.0659,0.8026,0.0352,0.2219,0.0380,0.7236,0.0770,0.6896,0.0701
cluster,0.5-0.7,9.4,47,5,FALSE,0.7821,0.1243,0.8567,0.0736,0.1501,0.0383,0.8298,0.0895,0.7399,0.1521
cluster,<0.3,28.2,141,5,FALSE,0.7775,0.0982,0.7052,0.1853,0.2018,0.0725,0.6708,0.1579,0.7175,0.0845
cluster,>0.7,2,6,3,FALSE,0.3333,,0.6944,,0.3281,0.3488,0.8571,,0.5000,
random,0.3-0.5,16,80,5,FALSE,0.8200,0.1333,0.8794,0.0869,0.1747,0.0631,0.8022,0.0719,0.7406,0.0832
random,0.5-0.7,9.6,48,5,FALSE,0.7448,0.1670,0.8553,0.1046,0.1929,0.1314,0.7198,0.1931,0.6143,0.1573
random,<0.3,15.4,77,5,FALSE,0.8057,0.0971,0.7609,0.1502,0.2047,0.0456,0.6493,0.1586,0.7289,0.0815
random,>0.7,23,115,5,FALSE,0.7043,0.1214,0.8868,0.0692,0.1638,0.0391,0.8322,0.0627,0.6797,0.1096
scaffold,0.3-0.5,17,85,5,FALSE,0.6256,0.1602,0.8226,0.0932,0.2145,0.0502,0.7053,0.1252,0.5547,0.1265
scaffold,0.5-0.7,10.8,54,5,FALSE,0.6700,0.2316,0.8601,0.0947,0.1632,0.0774,0.6518,0.2305,0.5977,0.1892
scaffold,<0.3,26.2,131,5,FALSE,0.7784,0.0565,0.6615,0.1108,0.2232,0.0453,0.6595,0.0958,0.7282,0.0600
scaffold,>0.7,9,45,5,FALSE,0.8858,0.1133,0.9657,0.0352,0.1077,0.0908,0.8300,0.1356,0.8642,0.1024
