split_type,seed,sim_bin,n,auroc,auprc,f1,balanced_acc,brier
random,11,<0.3,13,0.9523809523809523,0.9206349206349207,0.8333333333333334,0.8452380952380952,0.13307693600654602
random,11,0.3-0.5,17,0.9027777777777778,0.8849206349206349,0.75,0.7708333333333333,0.16058823466300964
random,11,0.5-0.7,4,,,,,0.12555554509162903
random,11,>0.7,30,0.8,0.9401666666666667,0.7317073170731707,0.7,0.14714652299880981
random,22,<0.3,13,0.8571428571428572,0.8626373626373627,0.7692307692307693,0.7738095238095238,0.18573492765426636
random,22,0.3-0.5,17,0.8333333333333333,0.8985671191553544,0.88,0.7583333333333333,0.15278923511505127
random,22,0.5-0.7,10,0.8125,0.9347718253968254,0.875,0.6875,0.11631391942501068
random,22,>0.7,24,0.5833333333333333,0.7838319088319088,0.85,0.5555555555555556,0.22211138904094696
random,33,<0.3,18,0.725,0.6345238095238095,0.6153846153846154,0.7,0.23248495161533356
random,33,0.3-0.5,15,0.9722222222222222,0.9880952380952381,0.8,0.8333333333333333,0.10437037795782089
random,33,0.5-0.7,11,0.7916666666666667,0.865079365079365,0.8888888888888888,0.6666666666666666,0.15023356676101685
random,33,>0.7,20,0.8515625,0.9603422619047619,0.8148148148148148,0.84375,0.13728027045726776
random,44,<0.3,19,0.7386363636363638,0.8143540669856459,0.42857142857142855,0.6363636363636364,0.22898134589195251
random,44,0.3-0.5,11,0.625,0.745330859616574,0.7142857142857143,0.6071428571428572,0.27607548236846924
random,44,0.5-0.7,13,0.875,0.9166666666666666,0.6153846153846154,0.7222222222222222,0.14593400061130524
random,44,>0.7,21,0.6985294117647058,0.8747789311803154,0.8823529411764706,0.6911764705882353,0.12789224088191986
random,55,<0.3,14,0.7555555555555556,0.5723809523809524,0.6,0.6888888888888889,0.24301587045192719
random,55,0.3-0.5,20,0.7666666666666668,0.8799759499759499,0.8666666666666667,0.7333333333333334,0.17985042929649353
random,55,0.5-0.7,10,0.5,0.7047619047619048,0.5,0.38095238095238093,0.4266476631164551
random,55,>0.7,20,0.5882352941176471,0.8747789311803154,0.8823529411764706,0.6078431372549019,0.18454976379871368
scaffold,11,<0.3,24,0.6814814814814815,0.5090852130325815,0.5,0.6222222222222222,0.2783333361148834
scaffold,11,0.3-0.5,15,0.47222222222222227,0.7843915343915344,0.5263157894736842,0.375,0.2304156869649887
scaffold,11,0.5-0.7,11,0.41666666666666663,0.7804713804713805,0.3333333333333333,0.3611111111111111,0.2491527497768402
scaffold,11,>0.7,13,0.9166666666666667,0.9871794871794872,0.8,0.8333333333333333,0.08364207297563553
scaffold,22,<0.3,33,0.7775735294117647,0.7373742732932038,0.7142857142857143,0.7536764705882353,0.20639118552207947
scaffold,22,0.3-0.5,13,0.44999999999999996,0.7519230769230769,0.6666666666666666,0.4666666666666667,0.255886971950531
scaffold,22,0.5-0.7,9,0.8214285714285714,0.927437641723356,0.7272727272727273,0.7857142857142857,0.16876544058322906
scaffold,22,>0.7,8,0.875,0.9285714285714286,0.6666666666666666,0.75,0.1262970119714737
scaffold,33,<0.3,19,0.8012820512820513,0.5896686159844055,0.6666666666666666,0.7628205128205128,0.2610560953617096
scaffold,33,0.3-0.5,27,0.6450617283950618,0.7457671957671959,0.6875,0.6388888888888888,0.2607179582118988
scaffold,33,0.5-0.7,9,,,,,0.06007160246372223
scaffold,33,>0.7,8,1.0,1.0,1.0,1.0,0.00929751992225647
scaffold,44,<0.3,25,0.8205128205128205,0.77998223998224,0.75,0.7628205128205128,0.16836243867874146
scaffold,44,0.3-0.5,16,0.7857142857142858,0.9660714285714287,0.8461538461538461,0.6428571428571428,0.14562281966209412
scaffold,44,0.5-0.7,16,0.90625,0.9555555555555555,0.88,0.7083333333333333,0.11484698951244354
scaffold,44,>0.7,6,0.7,0.9266666666666665,0.75,0.8,0.25172868371009827
scaffold,55,<0.3,30,0.8110047846889953,0.6911688311688311,0.6666666666666666,0.7392344497607655,0.20199750363826752
scaffold,55,0.3-0.5,14,0.775,0.864957264957265,0.8,0.65,0.17966032028198242
scaffold,55,0.5-0.7,9,0.5357142857142857,0.7769841269841269,0.6666666666666666,0.5357142857142857,0.2231753170490265
scaffold,55,>0.7,10,0.9375,0.9861111111111112,0.9333333333333333,0.9375,0.06735999882221222
cluster,11,<0.3,26,0.8076923076923077,0.8136752136752137,0.7857142857142857,0.7692307692307692,0.18931645154953003
