dataset,split_type,sim_bin,n_mean,n_total,n_seeds,low_power,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
tdc,cluster,0.3-0.5,23.0,115,5,False,0.6876923076923077,0.031056352674132863,0.8133802607832654,0.014255727110272735,0.24084693179470187,0.01099806732835295,0.5731443137758927,0.0336567455114573,0.536923076923077,0.06888804054534807
tdc,cluster,0.5-0.7,10.0,50,5,False,0.8666666666666666,0.08518354199999198,0.9512925170068028,0.023349417316069355,0.14055079556922062,0.034965418393255426,0.8805128205128204,0.07579514936974252,0.8095238095238095,0.06734350297014738
tdc,cluster,<0.3,26.0,130,5,False,0.8189349112426034,0.030916805864173058,0.8440332363171652,0.029377817019001617,0.2589558689842971,0.019653928677697444,0.7366386554621849,0.03308193217275476,0.6615384615384615,0.06319875663521143
tdc,cluster,>0.7,4.0,20,5,False,0.8666666666666666,0.2981423969999719,0.961111111111111,0.08695819912499181,0.2163192359001529,0.00783616700490052,0.8571428571428571,0.0,0.5,0.0
tdc,random,0.3-0.5,17.0,85,5,False,0.8583333333333332,0.030110393595387207,0.8439337822671156,0.026384101722999515,0.11411474967979593,0.004385854489259458,0.7293734335839598,0.13659497362800196,0.7569444444444444,0.08770368708552144
tdc,random,0.5-0.7,4.0,20,5,False,,,,,0.2612672362625467,0.01340185741846244,,,,
tdc,random,<0.3,13.0,65,5,False,0.9285714285714286,0.055838282855040826,0.897063492063492,0.08655006619394275,0.1146219104935787,0.01667038159119984,0.8446153846153847,0.04617520873131681,0.85,0.05092678484811297
tdc,random,>0.7,30.0,150,5,False,0.8816,0.013145341380124,0.975857602416913,0.0030498855513814514,0.1349161225721275,0.028634756418563726,0.7996598639455782,0.08192796640581798,0.82,0.028284271247461926
tdc,scaffold,0.3-0.5,15.0,75,5,False,1.0,0.0,1.0,0.0,0.0738707127085297,0.0038401490870680496,0.5576470588235295,0.15097147923781035,0.7,0.08014743359029725
tdc,scaffold,0.5-0.7,11.0,55,5,False,0.8111111111111111,0.03042903097250921,0.9576615359948694,0.007244959473373435,0.12480321744368186,0.008930017757833069,0.7699999999999999,0.02738612787525833,0.6833333333333332,0.13693063937629152
tdc,scaffold,<0.3,24.0,120,5,False,0.7288888888888888,0.006625386599999387,0.7385155693979224,0.009544537216864437,0.3267718932462873,0.005375591004081352,0.5693154454764363,0.027893489405274967,0.6577777777777778,0.029814239699997202
tdc,scaffold,>0.7,13.0,65,5,False,0.5333333333333334,0.04564354645876387,0.9552269489769492,0.005705443307345581,0.08000097511946255,0.0010930041330072444,0.859288537549407,0.02297935470948397,0.4083333333333334,0.01863389981249826
