dataset,split_type,sim_bin,n_mean,n_total,n_seeds,low_power,calibration_method,auroc_mean,auroc_std,auprc_mean,auprc_std,brier_mean,brier_std,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std
tdc,cluster,0.3-0.5,23.0,115,5,False,sigmoid,0.6876923076923077,0.031056352674132863,0.8133802607832654,0.014255727110272735,0.22934024421078475,0.00639011020878349,0.5731443137758927,0.0336567455114573,0.536923076923077,0.06888804054534806
tdc,cluster,0.5-0.7,10.0,50,5,False,sigmoid,0.8666666666666668,0.08518354199999204,0.9512925170068026,0.023349417316069307,0.1635812064352009,0.010028967224897122,0.8805128205128205,0.07579514936974258,0.8095238095238095,0.06734350297014738
tdc,cluster,<0.3,26.0,130,5,False,sigmoid,0.8189349112426034,0.030916805864173058,0.8440332363171652,0.029377817019001617,0.21583154957881714,0.006329820202062937,0.7366386554621849,0.03308193217275476,0.6615384615384615,0.06319875663521143
tdc,cluster,>0.7,4.0,20,5,False,sigmoid,0.8666666666666666,0.2981423969999719,0.961111111111111,0.08695819912499181,0.18785886620526884,0.0025684680772250323,0.8571428571428571,0.0,0.5,0.0
tdc,random,0.3-0.5,17.0,85,5,False,isotonic,0.8763888888888889,0.013357905598382876,0.8315392015392016,0.022544480229563325,0.14852021383684558,0.021492145728149042,0.7650877192982455,0.10456346400889831,0.7791666666666666,0.06899157892788774
tdc,random,0.5-0.7,4.0,20,5,False,isotonic,,,,,0.19352978866827264,0.06735422404261945,,,,
tdc,random,<0.3,13.0,65,5,False,isotonic,0.9214285714285715,0.034297286406876015,0.8531746031746034,0.06076743186949824,0.18553853019331373,0.01586075159181816,0.8625641025641025,0.05689188334492491,0.8666666666666666,0.06151433658458961
tdc,random,>0.7,30.0,150,5,False,isotonic,0.8496,0.03157213961707377,0.9550599267399267,0.006806007371744599,0.12268668742593095,0.01055280465761583,0.8051969625059326,0.08367815174153788,0.8240000000000001,0.03286335345030996
tdc,scaffold,0.3-0.5,15.0,75,5,False,isotonic,0.9833333333333334,0.01810889557000733,0.9923076923076923,0.008357951801541828,0.19840421910197317,0.018981137824044356,0.5776470588235294,0.13003858889605088,0.7083333333333333,0.0721687836487032
tdc,scaffold,0.5-0.7,11.0,55,5,False,isotonic,0.7555555555555556,0.06022078719077442,0.9330126663459997,0.014134559222943044,0.19016207683055134,0.0274138343547426,0.7699999999999999,0.02738612787525833,0.6833333333333332,0.13693063937629152
tdc,scaffold,<0.3,24.0,120,5,False,isotonic,0.72,0.019351630337204696,0.6870000478824009,0.04071691091395449,0.2408677187803431,0.019980293635887086,0.5627794977640178,0.02612454707903967,0.6511111111111111,0.02788866755113586
tdc,scaffold,>0.7,13.0,65,5,False,isotonic,0.2916666666666667,0.0,0.8896215358715359,0.00039768217308103817,0.13881472771344625,0.020902818069285557,0.8695652173913043,0.0,0.4166666666666667,0.0
