dataset,split_type,seed,sim_bin,n,auroc,auprc,brier,f1,balanced_acc,calibration_method
tdc,cluster,11,0.3-0.5,23,0.6846153846153846,0.8191151734138158,0.23098637476786238,0.6153846153846154,0.5576923076923077,sigmoid
tdc,cluster,11,0.5-0.7,10,0.9047619047619049,0.9617346938775511,0.15661171030716226,0.9333333333333333,0.8333333333333333,sigmoid
tdc,cluster,11,<0.3,26,0.8520710059171597,0.8765505412266545,0.21665951199126174,0.7058823529411765,0.6153846153846154,sigmoid
tdc,cluster,11,>0.7,4,1.0,1.0,0.18710549330257756,0.8571428571428571,0.5,sigmoid
tdc,cluster,22,0.3-0.5,23,0.7230769230769231,0.8113344988344986,0.22934789591842303,0.5263157894736842,0.6423076923076924,sigmoid
tdc,cluster,22,0.5-0.7,10,0.7142857142857143,0.9095238095238094,0.17862409538118443,0.8333333333333334,0.8571428571428572,sigmoid
tdc,cluster,22,<0.3,26,0.7692307692307693,0.797696647071757,0.20487372574054136,0.7857142857142857,0.7692307692307692,sigmoid
tdc,cluster,22,>0.7,4,0.3333333333333333,0.8055555555555556,0.19193415307912648,0.8571428571428571,0.5,sigmoid
tdc,cluster,33,0.3-0.5,23,0.6923076923076925,0.8248101255992626,0.2248527144769822,0.5714285714285714,0.45769230769230773,sigmoid
tdc,cluster,33,0.5-0.7,10,0.9047619047619049,0.9617346938775511,0.165708021897586,0.9333333333333333,0.8333333333333333,sigmoid
tdc,cluster,33,<0.3,26,0.834319526627219,0.8568830292514502,0.21901636171457126,0.7428571428571429,0.6538461538461539,sigmoid
tdc,cluster,33,>0.7,4,1.0,1.0,0.18676475230840514,0.8571428571428571,0.5,sigmoid
tdc,cluster,44,0.3-0.5,23,0.6384615384615384,0.7895282005576121,0.2390176035270291,0.56,0.5192307692307692,sigmoid
tdc,cluster,44,0.5-0.7,10,0.9047619047619049,0.9617346938775511,0.15252657117242824,0.7692307692307693,0.6904761904761905,sigmoid
tdc,cluster,44,<0.3,26,0.8224852071005917,0.8509282384282384,0.2176843231667755,0.7058823529411765,0.6153846153846154,sigmoid
tdc,cluster,44,>0.7,4,1.0,1.0,0.18508154388028608,0.8571428571428571,0.5,sigmoid
tdc,cluster,55,0.3-0.5,23,0.7,0.8221133055111383,0.222496632363627,0.5925925925925926,0.5076923076923077,sigmoid
tdc,cluster,55,0.5-0.7,10,0.9047619047619049,0.9617346938775511,0.1644356334176438,0.9333333333333333,0.8333333333333333,sigmoid
tdc,cluster,55,<0.3,26,0.8165680473372781,0.8381077256077256,0.22092382528093574,0.7428571428571429,0.6538461538461539,sigmoid
tdc,cluster,55,>0.7,4,1.0,1.0,0.18840838845594887,0.8571428571428571,0.5,sigmoid
tdc,random,11,0.3-0.5,17,0.8541666666666666,0.8585858585858588,0.13670902171212784,0.9,0.875,isotonic
tdc,random,11,0.5-0.7,4,,,0.1574249107330393,,,isotonic
tdc,random,11,<0.3,13,0.9285714285714285,0.8650793650793651,0.17669465852358102,0.8,0.7857142857142857,isotonic
tdc,random,11,>0.7,30,0.896,0.9633333333333334,0.1082554260309459,0.9387755102040817,0.8600000000000001,isotonic
tdc,random,22,0.3-0.5,17,0.8888888888888888,0.8464646464646466,0.11896807511527949,0.8421052631578947,0.8194444444444444,isotonic
tdc,random,22,0.5-0.7,4,,,0.17525103878116344,,,isotonic
tdc,random,22,<0.3,13,0.9761904761904762,0.9523809523809524,0.16722692913321074,0.9230769230769231,0.9285714285714286,isotonic
tdc,random,22,>0.7,30,0.844,0.959047619047619,0.13511796444891866,0.8372093023255814,0.86,isotonic
tdc,random,33,0.3-0.5,17,0.8819444444444444,0.8265993265993267,0.1743215821291449,0.6666666666666666,0.7152777777777778,isotonic
tdc,random,33,0.5-0.7,4,,,0.31225694444444446,,,isotonic
tdc,random,33,<0.3,13,0.8928571428571428,0.8055555555555556,0.19242521367521365,0.8333333333333334,0.8452380952380952,isotonic
tdc,random,33,>0.7,30,0.808,0.9452,0.13071388392436029,0.75,0.8,isotonic
tdc,random,44,0.3-0.5,17,0.875,0.7994468494468495,0.15140128671910102,0.75,0.7708333333333333,isotonic
tdc,random,44,0.5-0.7,4,,,0.17444444444444446,,,isotonic
tdc,random,44,<0.3,13,0.9166666666666667,0.8373015873015873,0.18263669364094298,0.9230769230769231,0.9285714285714286,isotonic
tdc,random,44,>0.7,30,0.8440000000000001,0.9532131868131868,0.11983002731144358,0.75,0.8,isotonic
tdc,random,55,0.3-0.5,17,0.8819444444444444,0.8265993265993267,0.1612011035085746,0.6666666666666666,0.7152777777777778,isotonic
tdc,random,55,0.5-0.7,4,,,0.1482716049382716,,,isotonic
tdc,random,55,<0.3,13,0.8928571428571429,0.8055555555555556,0.20870915599362036,0.8333333333333334,0.8452380952380952,isotonic
tdc,random,55,>0.7,30,0.856,0.9545054945054945,0.11951613541398629,0.75,0.8,isotonic
tdc,scaffold,11,0.3-0.5,15,1.0,1.0,0.19891653516573254,0.5,0.6666666666666666,isotonic
tdc,scaffold,11,0.5-0.7,11,0.7222222222222222,0.9235209235209235,0.20711678505577316,0.75,0.5833333333333333,isotonic
tdc,scaffold,11,<0.3,24,0.7259259259259259,0.7037037037037036,0.22314124960050152,0.5882352941176471,0.6777777777777778,isotonic
tdc,scaffold,11,>0.7,13,0.2916666666666667,0.8900203962703963,0.163074704570897,0.8695652173913043,0.4166666666666667,isotonic
tdc,scaffold,22,0.3-0.5,15,1.0,1.0,0.2005097853804358,0.5,0.6666666666666666,isotonic
tdc,scaffold,22,0.5-0.7,11,0.75,0.9393939393939393,0.17876937702203344,0.8,0.8333333333333333,isotonic
tdc,scaffold,22,<0.3,24,0.7333333333333334,0.7098765432098766,0.2244609389719249,0.5882352941176471,0.6777777777777778,isotonic
tdc,scaffold,22,>0.7,13,0.2916666666666667,0.8900203962703963,0.11924646781789638,0.8695652173913043,0.4166666666666667,isotonic
tdc,scaffold,33,0.3-0.5,15,0.9722222222222223,0.9871794871794872,0.1791161773578135,0.8,0.8333333333333333,isotonic
tdc,scaffold,33,0.5-0.7,11,0.7222222222222222,0.9235209235209235,0.19593692022263445,0.75,0.5833333333333333,isotonic
tdc,scaffold,33,<0.3,24,0.737037037037037,0.7302435219101886,0.23627334123923108,0.5263157894736842,0.6111111111111112,isotonic
tdc,scaffold,33,>0.7,13,0.2916666666666667,0.8894862082362083,0.15651142508285362,0.8695652173913043,0.4166666666666667,isotonic
tdc,scaffold,44,0.3-0.5,15,0.9861111111111112,0.9935897435897436,0.2282504916303032,0.5,0.6666666666666666,isotonic
tdc,scaffold,44,0.5-0.7,11,0.861111111111111,0.9551066217732884,0.14920054539889252,0.8,0.8333333333333333,isotonic
tdc,scaffold,44,<0.3,24,0.7148148148148148,0.6618554829339143,0.24922209135647075,0.5555555555555556,0.6444444444444444,isotonic
tdc,scaffold,44,>0.7,13,0.2916666666666667,0.8890944703444703,0.13792717603265264,0.8695652173913043,0.4166666666666667,isotonic
tdc,scaffold,55,0.3-0.5,15,0.9583333333333334,0.9807692307692308,0.18522810597558076,0.5882352941176471,0.7083333333333334,isotonic
tdc,scaffold,55,0.5-0.7,11,0.7222222222222222,0.9235209235209235,0.21978675645342313,0.75,0.5833333333333333,isotonic
tdc,scaffold,55,<0.3,24,0.6888888888888888,0.6293209876543211,0.2712409727335872,0.5555555555555556,0.6444444444444444,isotonic
tdc,scaffold,55,>0.7,13,0.2916666666666667,0.8894862082362083,0.11731386506293145,0.8695652173913043,0.4166666666666667,isotonic
