dataset,split_type,seed,sim_bin,n,auroc,auprc,brier,f1,balanced_acc
tdc,cluster,11,0.3-0.5,23,0.7461538461538462,0.7993074045110242,0.2455323454373813,0.7222222222222222,0.5
tdc,cluster,11,0.5-0.7,10,0.9047619047619048,0.9617346938775512,0.2285772963213381,0.8235294117647058,0.5
tdc,cluster,11,<0.3,26,0.7869822485207101,0.7741551748904689,0.2537210205081044,0.6666666666666666,0.5
tdc,cluster,11,>0.7,4,1.0,1.0,0.2223297557061186,0.8571428571428571,0.5
tdc,cluster,22,0.3-0.5,23,0.7538461538461538,0.8044356096392293,0.2453961194536321,0.7222222222222222,0.5
tdc,cluster,22,0.5-0.7,10,0.9047619047619048,0.9617346938775512,0.2284337136335145,0.8235294117647058,0.5
tdc,cluster,22,<0.3,26,0.7928994082840237,0.7722989114957439,0.2536037780373837,0.6666666666666666,0.5
tdc,cluster,22,>0.7,4,1.0,1.0,0.2221677164641653,0.8571428571428571,0.5
tdc,cluster,33,0.3-0.5,23,0.7384615384615385,0.7901498953535151,0.2368345066273198,0.7407407407407407,0.6846153846153846
tdc,cluster,33,0.5-0.7,10,0.9047619047619048,0.9617346938775512,0.2149772011313954,0.9333333333333332,0.8333333333333333
tdc,cluster,33,<0.3,26,0.7633136094674556,0.752292899408284,0.2460108513484689,0.7878787878787878,0.7307692307692308
tdc,cluster,33,>0.7,4,1.0,1.0,0.211040346929983,0.8571428571428571,0.5
tdc,cluster,44,0.3-0.5,23,0.7384615384615385,0.7901498953535151,0.2451760501513362,0.7428571428571429,0.55
tdc,cluster,44,0.5-0.7,10,0.9047619047619048,0.9617346938775512,0.2281035004468559,0.8235294117647058,0.5
tdc,cluster,44,<0.3,26,0.7810650887573964,0.7626030742695424,0.2533797138380728,0.6666666666666666,0.5
tdc,cluster,44,>0.7,4,1.0,1.0,0.221817890144682,0.8571428571428571,0.5
tdc,cluster,55,0.3-0.5,23,0.7307692307692308,0.7832817634853833,0.2367895589364827,0.7407407407407407,0.6846153846153846
tdc,cluster,55,0.5-0.7,10,0.9047619047619048,0.9617346938775512,0.2156484389044191,0.9333333333333332,0.8333333333333333
tdc,cluster,55,<0.3,26,0.7988165680473372,0.7749304904431125,0.245654107342248,0.7878787878787878,0.7307692307692308
tdc,cluster,55,>0.7,4,1.0,1.0,0.2104179321766869,0.8571428571428571,0.5
tdc,random,11,0.3-0.5,17,0.6666666666666666,0.7130622463955798,0.2725318580228255,0.6923076923076923,0.5
tdc,random,11,0.5-0.7,4,,,0.1008110546089476,,
tdc,random,11,<0.3,13,0.9285714285714286,0.9150793650793648,0.2972768168862273,0.631578947368421,0.5
tdc,random,11,>0.7,30,0.256,0.767512857649735,0.1616517986553525,0.9090909090909092,0.5
tdc,random,22,0.3-0.5,17,0.7083333333333333,0.7473655973655975,0.2725265521087299,0.6923076923076923,0.5
tdc,random,22,0.5-0.7,4,,,0.1008134809139498,,
tdc,random,22,<0.3,13,0.9285714285714286,0.9150793650793648,0.2972684541390391,0.631578947368421,0.5
tdc,random,22,>0.7,30,0.264,0.7697106598475372,0.1616542681591559,0.9090909090909092,0.5
tdc,random,33,0.3-0.5,17,0.6805555555555556,0.7176036926036926,0.2708725126056724,0.7619047619047619,0.6944444444444444
tdc,random,33,0.5-0.7,4,,,0.1001231591833426,,
tdc,random,33,<0.3,13,0.9047619047619048,0.8734126984126983,0.2944434308955144,0.8571428571428571,0.8571428571428572
tdc,random,33,>0.7,30,0.208,0.7473345196478677,0.1619046092442998,0.8679245283018868,0.46
tdc,random,44,0.3-0.5,17,0.6805555555555556,0.7176036926036926,0.2702009435063754,0.7619047619047619,0.6944444444444444
tdc,random,44,0.5-0.7,4,,,0.0999012818901807,,
tdc,random,44,<0.3,13,0.9047619047619048,0.8734126984126983,0.2933589279836434,0.8571428571428571,0.8571428571428572
tdc,random,44,>0.7,30,0.224,0.7512970277280228,0.1619433488061834,0.8235294117647058,0.42
tdc,random,55,0.3-0.5,17,0.6527777777777778,0.699085174085174,0.271101370680183,0.8181818181818182,0.75
tdc,random,55,0.5-0.7,4,,,0.1002676906362126,,
tdc,random,55,<0.3,13,0.9285714285714286,0.9150793650793648,0.2948121580211399,0.8571428571428571,0.8571428571428572
tdc,random,55,>0.7,30,0.2239999999999999,0.7550992255302206,0.1618571057957624,0.9090909090909092,0.5
tdc,scaffold,11,0.3-0.5,15,0.6388888888888888,0.8128276815776815,0.1883524520160102,0.4705882352941176,0.5
tdc,scaffold,11,0.5-0.7,11,0.3333333333333333,0.7995510662177328,0.184932716605427,0.6666666666666666,0.5277777777777778
tdc,scaffold,11,<0.3,24,0.7407407407407407,0.6534746662197642,0.2913478463631594,0.4705882352941176,0.5888888888888888
tdc,scaffold,11,>0.7,13,0.6666666666666666,0.9707362082362084,0.1546200952816344,0.8181818181818182,0.375
tdc,scaffold,22,0.3-0.5,15,0.6388888888888888,0.8128276815776815,0.1883557409536601,0.4705882352941176,0.5
tdc,scaffold,22,0.5-0.7,11,0.3333333333333333,0.7995510662177328,0.1850352480895163,0.6666666666666666,0.5277777777777778
tdc,scaffold,22,<0.3,24,0.7259259259259259,0.6357358747967623,0.2912289139286446,0.4705882352941176,0.5888888888888888
tdc,scaffold,22,>0.7,13,0.6666666666666666,0.9707362082362084,0.1546160255290746,0.8181818181818182,0.375
tdc,scaffold,33,0.3-0.5,15,0.6388888888888888,0.8128276815776815,0.188584811759771,0.4705882352941176,0.5
tdc,scaffold,33,0.5-0.7,11,0.3333333333333333,0.7995510662177328,0.1849071264955308,0.6666666666666666,0.5277777777777778
tdc,scaffold,33,<0.3,24,0.7333333333333334,0.6505506896115771,0.2913434199777915,0.4705882352941176,0.5888888888888888
tdc,scaffold,33,>0.7,13,0.6666666666666666,0.9707362082362084,0.1545574880967456,0.8181818181818182,0.375
tdc,scaffold,44,0.3-0.5,15,0.6388888888888888,0.8128276815776815,0.1878088051731058,0.5555555555555556,0.5416666666666666
tdc,scaffold,44,0.5-0.7,11,0.3333333333333333,0.7995510662177328,0.1845471216734849,0.6666666666666666,0.5277777777777778
tdc,scaffold,44,<0.3,24,0.7407407407407407,0.6534746662197642,0.2904235708947054,0.4705882352941176,0.5888888888888888
tdc,scaffold,44,>0.7,13,0.6666666666666666,0.9707362082362084,0.1542151014932464,0.8695652173913043,0.4166666666666667
tdc,scaffold,55,0.3-0.5,15,0.6388888888888888,0.8128276815776815,0.1890109624070451,0.4705882352941176,0.5
tdc,scaffold,55,0.5-0.7,11,0.3333333333333333,0.7995510662177328,0.1851952264683831,0.6666666666666666,0.5277777777777778
tdc,scaffold,55,<0.3,24,0.7481481481481481,0.6456315289648622,0.2914131305809718,0.4705882352941176,0.5888888888888888
tdc,scaffold,55,>0.7,13,0.5833333333333334,0.9614769489769492,0.1546971590357203,0.7619047619047619,0.3333333333333333
