config_stem,run_dir
stage2_chemprop_cluster_seed11_torch11,reports/runs/2026-04-01_112554_stage2_chemprop_cluster_seed11_torch11
stage2_chemprop_cluster_seed11_torch11,reports/runs/2026-04-01_115616_stage2_chemprop_cluster_seed11_torch11
stage2_chemprop_cluster_seed11_torch22,reports/runs/2026-04-01_115738_stage2_chemprop_cluster_seed11_torch22
stage2_chemprop_cluster_seed11_torch33,reports/runs/2026-04-01_115901_stage2_chemprop_cluster_seed11_torch33
stage2_chemprop_cluster_seed11_torch44,reports/runs/2026-04-01_120022_stage2_chemprop_cluster_seed11_torch44
stage2_chemprop_cluster_seed11_torch55,reports/runs/2026-04-01_120145_stage2_chemprop_cluster_seed11_torch55
stage2_chemprop_random_seed11_torch11,reports/runs/2026-04-01_120306_stage2_chemprop_random_seed11_torch11
stage2_chemprop_random_seed11_torch22,reports/runs/2026-04-01_120428_stage2_chemprop_random_seed11_torch22
stage2_chemprop_random_seed11_torch33,reports/runs/2026-04-01_120547_stage2_chemprop_random_seed11_torch33
stage2_chemprop_random_seed11_torch44,reports/runs/2026-04-01_120710_stage2_chemprop_random_seed11_torch44
stage2_chemprop_random_seed11_torch55,reports/runs/2026-04-01_120833_stage2_chemprop_random_seed11_torch55
stage2_chemprop_scaffold_seed11_torch11,reports/runs/2026-04-01_120956_stage2_chemprop_scaffold_seed11_torch11
stage2_chemprop_scaffold_seed11_torch22,reports/runs/2026-04-01_121120_stage2_chemprop_scaffold_seed11_torch22
stage2_chemprop_scaffold_seed11_torch33,reports/runs/2026-04-01_121244_stage2_chemprop_scaffold_seed11_torch33
stage2_chemprop_scaffold_seed11_torch44,reports/runs/2026-04-01_121407_stage2_chemprop_scaffold_seed11_torch44
stage2_chemprop_scaffold_seed11_torch55,reports/runs/2026-04-01_121529_stage2_chemprop_scaffold_seed11_torch55
