epoch,step,train_loss_epoch,train_loss_step,val/prc,val/roc,val_loss
0,7,,,0.787079930305481,0.7678571939468384,0.6769638061523438
0,7,0.6882179975509644,,,,
1,15,,,0.7767606973648071,0.7430555820465088,0.7158396244049072
1,15,0.6329895853996277,,,,
2,23,,,0.8058698177337646,0.7509920597076416,0.6600658297538757
2,23,0.5829193592071533,,,,
3,31,,,0.8065832853317261,0.743055522441864,0.7079719305038452
3,31,0.5635512471199036,,,,
4,39,,,0.8063174486160278,0.7380952835083008,0.6746821403503418
4,39,0.5543763041496277,,,,
5,47,,,0.803602933883667,0.733134925365448,0.6913043260574341
5,47,0.5477197170257568,,,,
6,49,,0.5849327445030212,,,
6,55,,,0.8160330057144165,0.7490079402923584,0.6636950969696045
6,55,0.5375522971153259,,,,
7,63,,,0.8374201059341431,0.783730149269104,0.6390260457992554
7,63,0.5334179997444153,,,,
8,71,,,0.8475502729415894,0.798611044883728,0.6573092341423035
8,71,0.5282415747642517,,,,
9,79,,,0.8730445504188538,0.8402777910232544,0.5981346368789673
9,79,0.5146157741546631,,,,
10,87,,,0.8871688842773438,0.85317462682724,0.5664196014404297
10,87,0.5087750554084778,,,,
11,95,,,0.8891251683235168,0.8611111044883728,0.5361794233322144
11,95,0.49194708466529846,,,,
12,99,,0.43052032589912415,,,
12,103,,,0.8915271759033203,0.8680555820465088,0.5199386477470398
12,103,0.4875730872154236,,,,
13,111,,,0.9042418599128723,0.8779761791229248,0.5640970468521118
13,111,0.4952557682991028,,,,
14,119,,,0.904477596282959,0.8789682388305664,0.5446860194206238
14,119,0.4986668527126312,,,,
15,127,,,0.9006294012069702,0.8789682984352112,0.5116926431655884
15,127,0.4794745445251465,,,,
16,135,,,0.9017448425292969,0.8799603581428528,0.5168353319168091
16,135,0.4786646068096161,,,,
17,143,,,0.8910713195800781,0.8730158805847168,0.46640634536743164
17,143,0.47425153851509094,,,,
18,149,,0.3629639744758606,,,
18,151,,,0.888482391834259,0.8720238208770752,0.46258342266082764
18,151,0.4556867182254791,,,,
19,159,,,0.8889984488487244,0.875,0.4569316506385803
19,159,0.4410589933395386,,,,
20,167,,,0.8884477019309998,0.8759920597076416,0.4625145196914673
20,167,0.44107282161712646,,,,
21,175,,,0.8840304613113403,0.8640872836112976,0.4471752643585205
21,175,0.43973618745803833,,,,
22,183,,,0.8911442756652832,0.8730158805847168,0.446897953748703
22,183,0.4378979802131653,,,,
23,191,,,0.8922719359397888,0.8769841194152832,0.466060996055603
23,191,0.42928922176361084,,,,
24,199,,0.5732982158660889,,,
24,199,,,0.8848722577095032,0.8611111640930176,0.4426114559173584
24,199,0.42642727494239807,,,,
25,207,,,0.885931670665741,0.8670635223388672,0.43742308020591736
25,207,0.4186161458492279,,,,
26,215,,,0.8954406976699829,0.879960298538208,0.4604095220565796
26,215,0.41066646575927734,,,,
