config_stem,run_dir
stage2_chemprop_cluster_seed11_torch11,reports/runs/2026-04-02_022144_stage2_chemprop_cluster_seed11_torch11
stage2_chemprop_cluster_seed11_torch22,reports/runs/2026-04-02_022313_stage2_chemprop_cluster_seed11_torch22
stage2_chemprop_cluster_seed11_torch33,reports/runs/2026-04-02_022447_stage2_chemprop_cluster_seed11_torch33
stage2_chemprop_cluster_seed11_torch44,reports/runs/2026-04-02_022619_stage2_chemprop_cluster_seed11_torch44
stage2_chemprop_cluster_seed11_torch55,reports/runs/2026-04-02_022749_stage2_chemprop_cluster_seed11_torch55
stage2_chemprop_random_seed11_torch11,reports/runs/2026-04-02_022911_stage2_chemprop_random_seed11_torch11
stage2_chemprop_random_seed11_torch22,reports/runs/2026-04-02_023106_stage2_chemprop_random_seed11_torch22
stage2_chemprop_random_seed11_torch33,reports/runs/2026-04-02_023312_stage2_chemprop_random_seed11_torch33
stage2_chemprop_random_seed11_torch44,reports/runs/2026-04-02_023451_stage2_chemprop_random_seed11_torch44
stage2_chemprop_random_seed11_torch55,reports/runs/2026-04-02_023626_stage2_chemprop_random_seed11_torch55
stage2_chemprop_scaffold_seed11_torch11,reports/runs/2026-04-02_023759_stage2_chemprop_scaffold_seed11_torch11
stage2_chemprop_scaffold_seed11_torch22,reports/runs/2026-04-02_023921_stage2_chemprop_scaffold_seed11_torch22
stage2_chemprop_scaffold_seed11_torch33,reports/runs/2026-04-02_024045_stage2_chemprop_scaffold_seed11_torch33
stage2_chemprop_scaffold_seed11_torch44,reports/runs/2026-04-02_024210_stage2_chemprop_scaffold_seed11_torch44
stage2_chemprop_scaffold_seed11_torch55,reports/runs/2026-04-02_024340_stage2_chemprop_scaffold_seed11_torch55
