dataset,split_type,seed,run_dir,calibration_method,n_test,auroc_before,auroc_after,auroc_delta,auprc_before,auprc_after,auprc_delta,brier_before,brier_after,brier_delta,source_manifest,regenerated_at,raw_threshold,calibrated_threshold,brier_direction,bin_row_count,binned_test_rows,row_count_match,cluster_auroc_invariance_pass
tdc,cluster,11,reports/runs/2026-04-05_043657_stage2_chemprop_cluster_seed11_torch11,sigmoid,63,0.7757201646090536,0.7757201646090536,0.0,0.8370177413382709,0.8370177413382709,0.0,0.23214669247489197,0.21048211123358054,-0.02166458124131143,reports/stage2_multiseed_analysis/stage2_run_manifest.csv,2026-04-05T06:18:09.622959+00:00,0.65,0.52,improved,4,63,True,True
tdc,cluster,22,reports/runs/2026-04-05_044003_stage2_chemprop_cluster_seed11_torch22,sigmoid,63,0.7314814814814815,0.7314814814814815,0.0,0.810752071689113,0.810752071689113,0.0,0.23027408976905553,0.2088205720873993,-0.021453517681656237,reports/stage2_multiseed_analysis/stage2_run_manifest.csv,2026-04-05T06:18:09.622959+00:00,0.65,0.6,improved,4,63,True,True
tdc,cluster,33,reports/runs/2026-04-05_044400_stage2_chemprop_cluster_seed11_torch33,sigmoid,63,0.7705761316872428,0.7705761316872428,0.0,0.8338530384249387,0.8338530384249387,0.0,0.23200435202716774,0.2106377312025226,-0.021366620824645133,reports/stage2_multiseed_analysis/stage2_run_manifest.csv,2026-04-05T06:18:09.622959+00:00,0.63,0.5,improved,4,63,True,True
tdc,cluster,44,reports/runs/2026-04-05_044659_stage2_chemprop_cluster_seed11_torch44,sigmoid,63,0.7530864197530864,0.7530864197530864,0.0,0.8252569942453047,0.8252569942453047,0.0,0.23267311033933846,0.2130601455667184,-0.019612964772620062,reports/stage2_multiseed_analysis/stage2_run_manifest.csv,2026-04-05T06:18:09.622959+00:00,0.64,0.54,improved,4,63,True,True
tdc,cluster,55,reports/runs/2026-04-05_044957_stage2_chemprop_cluster_seed11_torch55,sigmoid,63,0.779835390946502,0.779835390946502,0.0,0.8355331027480086,0.8355331027480086,0.0,0.22711738429134712,0.21046717285187275,-0.01665021143947437,reports/stage2_multiseed_analysis/stage2_run_manifest.csv,2026-04-05T06:18:09.622959+00:00,0.66,0.53,improved,4,63,True,True
tdc,random,11,reports/runs/2026-04-05_045240_stage2_chemprop_random_seed11_torch11,isotonic,64,0.8659090909090909,0.8437499999999999,-0.02215909090909096,0.929074313677847,0.8975376105598505,-0.0315367031179965,0.11539407572649976,0.1327882242777072,0.01739414855120744,reports/stage2_multiseed_analysis/stage2_run_manifest.csv,2026-04-05T06:18:09.622959+00:00,0.34,0.34,worsened,4,64,True,True
tdc,random,22,reports/runs/2026-04-05_045649_stage2_chemprop_random_seed11_torch22,isotonic,64,0.8761363636363636,0.8681818181818182,-0.007954545454545436,0.9319408681219419,0.9128662500373027,-0.019074618084639172,0.11504127171590284,0.13985860069193287,0.024817328976030034,reports/stage2_multiseed_analysis/stage2_run_manifest.csv,2026-04-05T06:18:09.622959+00:00,0.8,0.67,worsened,4,64,True,True
tdc,random,33,reports/runs/2026-04-05_050052_stage2_chemprop_random_seed11_torch33,isotonic,64,0.8613636363636363,0.8255681818181818,-0.03579545454545452,0.9274275904282476,0.8802492107883496,-0.047178379639898016,0.147972639720331,0.16617873389815357,0.018206094177822568,reports/stage2_multiseed_analysis/stage2_run_manifest.csv,2026-04-05T06:18:09.622959+00:00,0.81,0.54,worsened,4,64,True,True
tdc,random,44,reports/runs/2026-04-05_050412_stage2_chemprop_random_seed11_torch44,isotonic,64,0.8670454545454546,0.8409090909090908,-0.026136363636363735,0.9256867846589822,0.8838676926205729,-0.04181909203840939,0.14094799135373498,0.1443871482605947,0.003439156906859725,reports/stage2_multiseed_analysis/stage2_run_manifest.csv,2026-04-05T06:18:09.622959+00:00,0.8200000000000001,0.54,worsened,4,64,True,True
tdc,random,55,reports/runs/2026-04-05_050719_stage2_chemprop_random_seed11_torch55,isotonic,64,0.8613636363636363,0.8494318181818181,-0.01193181818181821,0.9238185460615256,0.8905279847286117,-0.03329056133291386,0.14647122485752115,0.1505032542146173,0.004032029357096151,reports/stage2_multiseed_analysis/stage2_run_manifest.csv,2026-04-05T06:18:09.622959+00:00,0.8,0.56,worsened,4,64,True,True
