config_stem,run_dir
stage2_chemprop_chembl_cluster_seed11_torch42,reports/runs/2026-04-03_132514_stage2_chemprop_cluster_seed11_torch42
stage2_chemprop_chembl_cluster_seed22_torch42,reports/runs/2026-04-03_133410_stage2_chemprop_cluster_seed22_torch42
stage2_chemprop_chembl_cluster_seed33_torch42,reports/runs/2026-04-03_134327_stage2_chemprop_cluster_seed33_torch42
stage2_chemprop_chembl_cluster_seed44_torch42,reports/runs/2026-04-03_135228_stage2_chemprop_cluster_seed44_torch42
stage2_chemprop_chembl_cluster_seed55_torch42,reports/runs/2026-04-03_140125_stage2_chemprop_cluster_seed55_torch42
stage2_chemprop_chembl_random_seed11_torch42,reports/runs/2026-04-03_141029_stage2_chemprop_random_seed11_torch42
stage2_chemprop_chembl_random_seed22_torch42,reports/runs/2026-04-03_141921_stage2_chemprop_random_seed22_torch42
stage2_chemprop_chembl_random_seed33_torch42,reports/runs/2026-04-03_142859_stage2_chemprop_random_seed33_torch42
stage2_chemprop_chembl_random_seed44_torch42,reports/runs/2026-04-03_143844_stage2_chemprop_random_seed44_torch42
stage2_chemprop_chembl_random_seed55_torch42,reports/runs/2026-04-03_144751_stage2_chemprop_random_seed55_torch42
stage2_chemprop_chembl_scaffold_seed11_torch42,reports/runs/2026-04-03_145636_stage2_chemprop_scaffold_seed11_torch42
stage2_chemprop_chembl_scaffold_seed22_torch42,reports/runs/2026-04-03_150605_stage2_chemprop_scaffold_seed22_torch42
stage2_chemprop_chembl_scaffold_seed33_torch42,reports/runs/2026-04-03_151411_stage2_chemprop_scaffold_seed33_torch42
stage2_chemprop_chembl_scaffold_seed44_torch42,reports/runs/2026-04-03_152232_stage2_chemprop_scaffold_seed44_torch42
stage2_chemprop_chembl_scaffold_seed55_torch42,reports/runs/2026-04-03_153058_stage2_chemprop_scaffold_seed55_torch42
