epoch,step,train_loss_epoch,train_loss_step,val/prc,val/roc,val_loss
0,49,,0.5703803300857544,,,
0,99,,0.6367100477218628,,,
0,116,,,0.7035888433456421,0.5585804581642151,0.6545656323432922
0,116,0.6183340549468994,,,,
1,149,,0.5567718744277954,,,
1,199,,0.6423074007034302,,,
1,233,,,0.787015438079834,0.6683622002601624,0.6327586770057678
1,233,0.5953460335731506,,,,
2,249,,0.5424401164054871,,,
2,299,,0.48241230845451355,,,
2,349,,0.5456035137176514,,,
2,350,,,0.8018936514854431,0.6926745772361755,0.5990971922874451
2,350,0.5487942695617676,,,,
3,399,,0.5337381362915039,,,
3,449,,0.4983068108558655,,,
3,467,,,0.8128218054771423,0.7080111503601074,0.6119773387908936
3,467,0.5284565687179565,,,,
4,499,,0.4316790699958801,,,
4,549,,0.4291347861289978,,,
4,584,,,0.8084345459938049,0.7075455188751221,0.6087362766265869
4,584,0.5066555738449097,,,,
5,599,,0.4414846897125244,,,
5,649,,0.5125353336334229,,,
5,699,,0.5564212799072266,,,
5,701,,,0.8101565837860107,0.7080981731414795,0.5978531837463379
5,701,0.4916379153728485,,,,
6,749,,0.5000741481781006,,,
6,799,,0.5075904130935669,,,
6,818,,,0.8166748285293579,0.7150372266769409,0.6069871187210083
6,818,0.4720953106880188,,,,
7,849,,0.41049057245254517,,,
7,899,,0.44459423422813416,,,
7,935,,,0.82584547996521,0.7238543629646301,0.6042526960372925
7,935,0.46436840295791626,,,,
8,949,,0.4442245066165924,,,
8,999,,0.4001038372516632,,,
8,1049,,0.31962883472442627,,,
8,1052,,,0.8197605609893799,0.7206099629402161,0.6058453321456909
8,1052,0.43715694546699524,,,,
9,1099,,0.38852429389953613,,,
9,1149,,0.4082305431365967,,,
9,1169,,,0.8310389518737793,0.7308394908905029,0.641845166683197
9,1169,0.4429021179676056,,,,
10,1199,,0.36998888850212097,,,
10,1249,,0.4272853434085846,,,
10,1286,,,0.8278006315231323,0.7302944660186768,0.6476758718490601
10,1286,0.41360610723495483,,,,
11,1299,,0.43739214539527893,,,
11,1349,,0.5011929869651794,,,
11,1399,,0.3942332863807678,,,
11,1403,,,0.8232402801513672,0.7290382385253906,0.6691502332687378
11,1403,0.40540048480033875,,,,
12,1449,,0.3806745707988739,,,
12,1499,,0.38551807403564453,,,
12,1520,,,0.8278493881225586,0.7285827398300171,0.6427561044692993
12,1520,0.40471941232681274,,,,
13,1549,,0.3035636842250824,,,
13,1599,,0.3894774913787842,,,
13,1637,,,0.840075671672821,0.7477880120277405,0.6642177700996399
13,1637,0.38966330885887146,,,,
14,1649,,0.4879685044288635,,,
14,1699,,0.43075039982795715,,,
14,1749,,0.35529643297195435,,,
14,1754,,,0.8313788771629333,0.738863468170166,0.6200730800628662
14,1754,0.37631866335868835,,,,
15,1799,,0.33995506167411804,,,
15,1849,,0.4645533859729767,,,
15,1871,,,0.8435412645339966,0.7521736025810242,0.6349666714668274
15,1871,0.3708023130893707,,,,
16,1899,,0.32931607961654663,,,
16,1949,,0.307284951210022,,,
16,1988,,,0.8428394198417664,0.7557199001312256,0.6132580041885376
16,1988,0.3608921766281128,,,,
17,1999,,0.47664105892181396,,,
17,2049,,0.3397718369960785,,,
17,2099,,0.40062859654426575,,,
17,2105,,,0.8493764996528625,0.7605865001678467,0.6267892718315125
17,2105,0.3506602644920349,,,,
18,2149,,0.37272414565086365,,,
18,2199,,0.3329923748970032,,,
18,2222,,,0.8493033647537231,0.761236310005188,0.6525980830192566
18,2222,0.3447892963886261,,,,
19,2249,,0.3188138008117676,,,
19,2299,,0.2804052531719208,,,
19,2339,,,0.8448920249938965,0.7569173574447632,0.6338596940040588
19,2339,0.3370967209339142,,,,
20,2349,,0.31376025080680847,,,
20,2399,,0.28121837973594666,,,
20,2449,,0.38140153884887695,,,
20,2456,,,0.8373401165008545,0.7504388093948364,0.632062554359436
20,2456,0.3434324860572815,,,,
21,2499,,0.32847079634666443,,,
21,2549,,0.2346455454826355,,,
21,2573,,,0.849979043006897,0.7641992568969727,0.671451210975647
21,2573,0.3249616026878357,,,,
22,2599,,0.4230693280696869,,,
22,2649,,0.3158457279205322,,,
22,2690,,,0.8531998991966248,0.7641276121139526,0.6112123727798462
22,2690,0.32606127858161926,,,,
23,2699,,0.3155503273010254,,,
23,2749,,0.35365596413612366,,,
23,2799,,0.28329944610595703,,,
23,2807,,,0.8442700505256653,0.7586827874183655,0.6936368346214294
23,2807,0.3131883442401886,,,,
24,2849,,0.27416616678237915,,,
24,2899,,0.273711621761322,,,
24,2924,,,0.8531461954116821,0.7666811347007751,0.6405519247055054
24,2924,0.3249785304069519,,,,
25,2949,,0.2681194543838501,,,
25,2999,,0.21541480720043182,,,
25,3041,,,0.8511508107185364,0.7719366550445557,0.6562434434890747
25,3041,0.308957040309906,,,,
26,3049,,0.3340266942977905,,,
26,3099,,0.36857229471206665,,,
26,3149,,0.34017348289489746,,,
26,3158,,,0.8527921438217163,0.7696747779846191,0.6320440173149109
26,3158,0.32084813714027405,,,,
27,3199,,0.30129677057266235,,,
27,3249,,0.35361579060554504,,,
27,3275,,,0.854492723941803,0.7740756869316101,0.6293442249298096
27,3275,0.29240599274635315,,,,
28,3299,,0.27893391251564026,,,
28,3349,,0.2645612955093384,,,
28,3392,,,0.8540440797805786,0.771895706653595,0.7066119909286499
28,3392,0.2934127748012543,,,,
29,3399,,0.2824568748474121,,,
29,3449,,0.5203097462654114,,,
29,3499,,0.3224816918373108,,,
29,3509,,,0.8530765771865845,0.7736510038375854,0.6650341153144836
29,3509,0.2867925763130188,,,,
30,3549,,0.24097396433353424,,,
30,3599,,0.16574014723300934,,,
30,3626,,,0.8499161005020142,0.77025306224823,0.6591538786888123
30,3626,0.27784666419029236,,,,
31,3649,,0.2596147656440735,,,
31,3699,,0.3377440571784973,,,
31,3743,,,0.8536099791526794,0.7764807939529419,0.6641438007354736
31,3743,0.2843119204044342,,,,
32,3749,,0.22964096069335938,,,
32,3799,,0.2630566954612732,,,
32,3849,,0.20768171548843384,,,
32,3860,,,0.8582788705825806,0.7821738719940186,0.6759964227676392
32,3860,0.2707938253879547,,,,
33,3899,,0.2679213285446167,,,
33,3949,,0.29690656065940857,,,
33,3977,,,0.8522049784660339,0.7757542133331299,0.7506056427955627
33,3977,0.2693817913532257,,,,
34,3999,,0.3160174787044525,,,
34,4049,,0.2891269326210022,,,
34,4094,,,0.8518381714820862,0.7724944353103638,0.666555643081665
34,4094,0.2781435251235962,,,,
35,4099,,0.20780614018440247,,,
35,4149,,0.1994875967502594,,,
35,4199,,0.24789485335350037,,,
35,4211,,,0.8473730087280273,0.7714402675628662,0.6844543814659119
35,4211,0.2560236155986786,,,,
36,4249,,0.48304176330566406,,,
36,4299,,0.20436587929725647,,,
36,4328,,,0.8520066142082214,0.7756364345550537,0.7114818692207336
36,4328,0.2657383680343628,,,,
37,4349,,0.1898842304944992,,,
37,4399,,0.3442000150680542,,,
37,4445,,,0.8536284565925598,0.7756083607673645,0.7259673476219177
37,4445,0.2491910606622696,,,,
38,4449,,0.2166072428226471,,,
38,4499,,0.21010181307792664,,,
38,4549,,0.12769848108291626,,,
38,4562,,,0.8515304327011108,0.7751784324645996,0.7074052095413208
38,4562,0.24612480401992798,,,,
39,4599,,0.27546560764312744,,,
39,4649,,0.11968666315078735,,,
39,4679,,,0.8579904437065125,0.7809737920761108,0.7163442969322205
39,4679,0.2462497353553772,,,,
40,4699,,0.15618212521076202,,,
40,4749,,0.217675119638443,,,
40,4796,,,0.8516871929168701,0.7740961313247681,0.7509258985519409
40,4796,0.23902639746665955,,,,
41,4799,,0.6502641439437866,,,
41,4849,,0.20641018450260162,,,
41,4899,,0.2731351852416992,,,
41,4913,,,0.852280855178833,0.7753345966339111,0.6981908679008484
41,4913,0.2588660418987274,,,,
42,4949,,0.17661690711975098,,,
42,4999,,0.1961558610200882,,,
42,5030,,,0.8516911864280701,0.7746999859809875,0.7386981844902039
42,5030,0.23384225368499756,,,,
